stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,197.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,318.74,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,18.39,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,0,0,0,42.06,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,25.18,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,5,1,0,0,0,4,1,1,4,5,0,0,1,0,0
 24-34,0,0,0,0,0.82,0,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,2.46,14.78,0,0,0,0,0,0,0,4.1,6.57,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,11.28,0,0,0,2.42,0,0,0,0,0,2.42,0,1.61,20.14,0,0,0,0,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,32.13,0,0,0.57,5.74,0,0,0,0,0,2.3,0,2.87,21.8,0,0,0,0.57,0,0,0,0,10.9,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0,203.18,0,0,0,25.52,0,0,0,0,0,3.93,0,0.98,32.39,0,0,0,1.96,0,0,0,0,11.78,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,0,379.9,0,0,0,38.28,0,0.98,0,0,0,15.71,0,0,59.88,0,0.98,0,0,0,0,0,0,8.83,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,0,309.05,0,0,1.06,18.05,0,0,0,0,0,11.68,0,2.12,16.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,3.28,0,0,266.65,1.09,1.09,0,26.23,0,0,1.09,0,1.09,10.93,0,1.09,28.41,0,2.19,0,1.09,0,0,0,0,2.19,1.09,0,0,0,2.19
108-118,0.77,0,0,0,0,0.77,0,202.21,0,0,0,28.34,0,0,0,0,0,2.3,0.77,2.3,25.28,1.53,0.77,0,0,0,0,0,0,1.53,0,0.77,0,0.77,0
120,0,0,0,0,0,0,1.96,213.62,0,1.96,0,33.32,0,0,0,1.96,0,1.96,0,0,37.24,0,1.96,0,5.88,0,0,0,0,1.96,0,0,1.96,0,0
