stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,4,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0.82,3.28,0,0,0.82,23.8,0,1.64,1.64,0,0,0.82,9.03,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,4.83,0,0,1.61,24.98,0,0.81,1.61,0,0,0,5.64,0,0,2.42,0,0
 48-58,0,0,0,0,0,0,0,0.57,2.3,0,0,0,0,2.3,0,0.57,4.59,0,0,1.15,16.64,0,0,1.15,0,0,0,2.3,0,0,1.15,0,0.57
 60-70,0,0.98,0,0,1.96,0.98,0,0,4.91,0,0,0,0,4.91,0,0,6.87,0,0,2.94,23.56,0,0,7.85,0,0,0,0.98,5.89,0,0,0,0
 72-82,0,6.87,1.96,0,11.78,0,0,0,4.91,1.96,0,0,0,9.82,0.98,0,12.76,0,0.98,3.93,39.27,0,2.94,5.89,1.96,0,0.98,0.98,24.54,0,1.96,0,0
 84-94,0,9.56,0,0,9.56,0,0,1.06,3.19,1.06,0,0,0,25.49,0,0,3.19,0,0,0,26.55,0,0,10.62,0,0,0,1.06,113.64,0,1.06,1.06,0
 96-106,0,12.02,3.28,0,9.84,0,0,0,17.49,6.56,1.09,1.09,0,26.23,0,0,9.84,1.09,0,1.09,34.97,0,2.19,25.14,5.46,0,1.09,1.09,202.18,1.09,0,0,0
108-118,0,5.36,0.77,0.77,3.06,0,1.53,0,5.36,3.83,0,0,0.77,19.92,0,0.77,7.66,0,0,0.77,28.34,0,2.3,11.49,2.3,0,0,0.77,238.21,0,0,0.77,0.77
120,0,3.92,0,0,0,0,0,1.96,1.96,1.96,0,0,0,11.76,0,0,7.84,0,0,3.92,19.6,0,1.96,13.72,1.96,0,0,0,96.03,0,0,0,0
