stage,axial,blastomeres,epidermis,eye,glial,heart,ionocyte,iridophores,lateral_line,neural,notochord,otic,paraxial_mesoderm,spinal_cord
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,12.26,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,31.54,2.63,0,10.51,0
 10-12,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,0,0,6.89,0,0,0,0.57
 60-70,0,0,0,0.98,2.94,0,0,0,0,26.5,0,0.98,0,0.98
 72-82,0,0,0.98,2.94,3.93,0,0,0.98,0,21.6,0,0.98,0,2.94
 84-94,0,0,2.12,2.12,0,0,1.06,0,0,9.56,0,2.12,0,0
 96-106,0,0,4.37,2.19,0,0,1.09,0,1.09,6.56,0,1.09,0,0
108-118,0,0,3.83,1.53,2.3,0,0,0,0,10.72,0,0.77,0,0.77
120,0,0,5.88,0,0,0,0,0,0,13.72,0,0,0,0
