stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0.98,30.43,0,0,0,0.98,0,0.98,0,0.98,15.71,0,0.98,0,0,0,0,0
 84-94,0,0,0,3.19,0,0,64.78,0,0,0,0,1.06,1.06,0,0,7.43,0,0,0,0,0,1.06,0
 96-106,1.09,1.09,0,6.56,0,0,248.08,0,1.09,0,0,1.09,4.37,1.09,0,37.16,0,1.09,0,0,1.09,0,0
108-118,0.77,3.06,2.3,2.3,0.77,2.3,356.17,0.77,0,0.77,0,3.06,4.6,0,0,34.47,0,0,0.77,3.06,0.77,0,0.77
120,0,0,0,3.92,0,0,207.74,0,0,0,0,3.92,3.92,0,0,29.4,1.96,0,0,0,1.96,0,1.96
