stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,1,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0
 24-34,0,0.82,1.64,0,0,0,0,0,0.82,0.82,0,0,0.82,18.06,0.82,0,0,0,0,4.93,0,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0.81,0,0,10.47,0,0,0.81,0,0.81,5.64,0,0
 48-58,0,0,2.3,0,0,0,1.15,0,0,0,1.15,0,0,8.61,0,0.57,0,0,0,0.57,0,0
 60-70,2.94,0,9.82,0.98,0,0,0.98,0,0.98,0,6.87,0,0.98,12.76,0,0.98,1.96,0,0.98,0.98,0,0.98
 72-82,0,0.98,10.8,0,0,0,0,0,0,0,0,0,0,3.93,0.98,0,0,0,0,0.98,0,0
 84-94,2.12,0,1.06,0,0,0,1.06,0,0,0,0,0,0,3.19,0,0,2.12,0,0,1.06,1.06,0
 96-106,0,1.09,2.19,0,0,0,1.09,0,0,0,0,0,0,4.37,0,0,1.09,0,0,0,1.09,0
108-118,0,0,3.83,0,0.77,0,0.77,0.77,0.77,0,0.77,0.77,0,2.3,0,0.77,0,0,0,0,0,0
120,0,0,5.88,0,0,3.92,1.96,0,0,0,0,0,5.88,15.68,0,0,3.92,0,0,0,0,0
