stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,24,2,1,0,0,0,0,0,4,9,0,0,0,0,0
 24-34,0,0.82,0,3.28,0,0,6.57,0,1.64,0,0.82,0.82,0,0,0.82,0,0,0.82,0.82,0,0,147.75,9.03,0.82,0,0,0,0,0,0,21.34,0,0,1.64,0,0
 36-46,0,0,0,2.42,0,0,34.64,0,1.61,0,4.03,0,0,0,0,0,0,4.03,0,0,0.81,356.11,7.25,0.81,0,0,0,0,0,0,57.2,0,0,0,0,0
 48-58,0,0,0,2.3,0,0,75.74,0,0,0,4.02,0,0.57,0,0,0,0,9.18,0,0,0,348.87,5.16,0,0,0,0,0,0,0,60.82,0,0,0.57,0,0
 60-70,0,0,0,4.91,0,0,94.23,0,0,0,4.91,0,0,0,0.98,0.98,0,13.74,0,0,0,289.55,10.8,1.96,0,1.96,0,0,0,0,35.33,0,0,0,0.98,0.98
 72-82,0,0.98,0,1.96,2.94,0,76.57,0,0.98,0,4.91,1.96,0,0.98,0.98,0,0.98,21.6,0,0.98,2.94,255.23,13.74,3.93,0,0,0,0,0,0,15.71,0,0.98,0.98,0.98,0
 84-94,0,0,0,4.25,1.06,0,46.73,0,1.06,0,14.87,2.12,0,1.06,1.06,2.12,0,10.62,0,3.19,0,115.76,7.43,2.12,0,0,0,0,1.06,0,13.81,1.06,0,4.25,2.12,0
 96-106,0,1.09,0,3.28,0,1.09,67.76,1.09,0,0,17.49,1.09,0,2.19,1.09,3.28,0,16.39,0,1.09,1.09,100.54,15.3,2.19,0,1.09,1.09,0,0,0,3.28,0,1.09,0,2.19,0
108-118,0,0,0,5.36,0,0,53.62,0.77,1.53,0.77,16.09,0.77,0,5.36,0.77,0.77,0.77,6.89,0,0.77,0,112.6,9.19,1.53,0,1.53,0,0.77,0,0,4.6,0,0.77,0,1.53,0
120,0,1.96,0,15.68,3.92,0,82.31,0,3.92,0,33.32,0,0,1.96,3.92,1.96,0,3.92,0,0,1.96,148.94,21.56,0,0,1.96,0,3.92,0,0,7.84,1.96,0,3.92,1.96,0
