stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,171.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,2.63,0,2.63,0,0,21.03,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,152.47,2.63,0,0,57.83,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,6.29,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,138.47,9.44,0,0,72.38,0,0,6.29,3.15,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,19,7,2,0,0,0,3,3,0,0,0,0,0,0,0,0,12,0,5,142,4,0,2,4,0,1,0,16,1,0,26,58,0,0,4,0,0
 24-34,0,0,0.82,0,4.93,0,14.78,0,1.64,0,4.93,0,0,0.82,0,2.46,0,0,0,0.82,18.06,0,8.21,432.59,11.49,12.31,2.46,0,0,9.85,0,0,0.82,0,3.28,123.95,0,0,8.21,0,0.82
 36-46,0,0,0.81,0,4.83,0,22.56,0.81,0,1.61,18.53,0,0,0,0,0,0,0,0,0,21.75,1.61,4.83,853.2,5.64,11.28,2.42,0,0,7.25,0.81,0,0.81,0,0.81,157.91,0,0,9.67,0,0.81
 48-58,0,0,1.72,0,9.75,0,79.76,0.57,1.15,2.3,32.13,0.57,0,0.57,0,0.57,0,0.57,0,2.3,42.46,0,4.59,838.33,10.9,6.89,1.15,0,0,20.66,0,0.57,1.15,1.72,0,153.21,0,0.57,4.02,0,1.72
 60-70,0,0,0.98,0,5.89,0,137.41,0.98,0,0.98,35.33,0,0,0,0,0,0,1.96,0,0,63.8,0,5.89,794.05,2.94,5.89,0.98,0,0,11.78,0,0,1.96,0,0,111.89,0,0,3.93,0,0
 72-82,0,0,2.94,0,6.87,0.98,172.77,0.98,0.98,0,58.9,0.98,0,0.98,0,0.98,0,0,0,0,60.86,2.94,5.89,704.83,9.82,8.83,2.94,0,0.98,7.85,0,0,0,0,0,54.97,0,0,6.87,2.94,0
 84-94,0,0,1.06,0,13.81,1.06,138.06,0,2.12,2.12,33.99,1.06,0,1.06,1.06,0,1.06,3.19,0,1.06,41.42,7.43,6.37,334.54,13.81,6.37,4.25,0,0,26.55,0,0,0,1.06,0,33.99,1.06,2.12,8.5,2.12,0
 96-106,0,0,0,0,6.56,2.19,86.33,2.19,0,0,32.79,2.19,0,1.09,0,0,0,0,1.09,0,36.06,2.19,1.09,259,3.28,8.74,0,0,1.09,6.56,0,0,0,0,0,28.41,2.19,2.19,6.56,0,0
108-118,0,0,0,0,9.19,0,71.23,0.77,0.77,3.06,32.17,0.77,0,0.77,0,0.77,0,0,0,1.53,33.7,1.53,0.77,235.15,8.43,3.83,3.06,0,0.77,9.96,0,0,0.77,0,0,11.49,0.77,0,3.06,0,0
120,0,0,0,0,13.72,0,84.27,0,3.92,0,52.91,1.96,0,0,0,0,1.96,0,0,0,9.8,0,1.96,335.12,7.84,1.96,3.92,0,1.96,1.96,0,0,3.92,0,0,17.64,0,0,5.88,0,0
