stage,epidermis,erythrocytes,eye,glial,heart,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,2,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0
 24-34,0,0,1.64,0,0,3.28,0,27.09,0.82,0.82,0,0,0.82,7.39,0,0
 36-46,0,0.81,6.45,2.42,0,4.03,0.81,26.59,0,0,0,0,0,7.25,0.81,0
 48-58,0.57,0,13.77,1.72,0,0,0.57,21.23,0.57,1.15,0,0,0,2.3,0,0
 60-70,0,0,31.41,4.91,0,4.91,0,35.33,0.98,0.98,0.98,0,0,2.94,0,0
 72-82,0.98,0,13.74,3.93,0,2.94,0,28.47,0,0.98,0,0.98,0,3.93,0,0
 84-94,0,0,7.43,1.06,0,2.12,0,8.5,0,0,0,0,0,1.06,0,0
 96-106,0,0,7.65,0,0,1.09,0,7.65,1.09,1.09,0,0,0,0,0,1.09
108-118,0,0,3.06,0.77,0,0,0,6.13,0,0,0,0,0,0,0,0
120,0,0,5.88,1.96,0,0,0,9.8,0,0,0,0,0,3.92,0,0
