stage,axial,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,glial,heart,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,0,3,0,0,0,2,0,19,0,1,3,0,0,1,0,0,2,6,0,0
 24-34,0,0,0,0,0,2.46,0.82,0.82,1.64,1.64,1.64,24.63,0,3.28,3.28,0,0,0,0,0.82,0,2.46,0,0
 36-46,0,0,0,0,0,5.64,0,0,0,4.03,0.81,22.56,0,1.61,2.42,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0.57,1.15,0,5.16,0.57,0,1.72,2.87,0,17.21,0,1.15,2.87,0,0,0,0,0,0,2.87,0,0.57
 60-70,0,0,0,0,0,2.94,0,0,2.94,0.98,0.98,15.7,0,4.91,2.94,0,0,0,0,0,0,3.93,0,0
 72-82,0,0,0.98,0,0,5.89,0.98,0,9.82,0,0,19.63,0,5.89,4.91,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,3.19,0,0,9.56,5.31,0,8.5,0,4.25,7.43,0,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,30.6,2.19,0,6.56,0,2.19,12.02,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0,0,0.77,18.38,0.77,0,3.83,0,1.53,5.36,0,0,0,1.53,0,0,0,0,0
120,0,0,1.96,0,0,3.92,1.96,0,19.6,1.96,0,3.92,0,1.96,3.92,0,0,0,0,0,0,0,0,0
