stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,1017.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,18.39,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,10.51,23.66,0,0,44.69,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,446.88,13.14,0,0,160.35,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,47.2,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,258.05,12.59,0,0,59.79,0,0,0,15.73,0,0,3.15,0,0,0,0,0
 14-21,0,0,2,13,4,5,0,0,4,0,0,0,0,0,0,0,0,1,14,0,6,144,2,0,2,3,0,1,12,4,0,12,44,0,0,1,0,0
 24-34,0,0,1.64,4.1,0,11.49,0,0.82,3.28,0,0,0.82,0,1.64,0,0,0,0,8.21,0,9.03,178.95,0,2.46,1.64,0,0,5.75,0,0,0,3.28,34.48,0,0,3.28,0,1.64
 36-46,0,0,0,0.81,0.81,27.39,0.81,0,6.45,0.81,0,0,0,0,0,0.81,0,0,13.7,0,8.06,161.94,1.61,3.22,0.81,0,0,4.03,0.81,0,0,0,37.87,0,0,1.61,0,0
 48-58,0,0,0,0.57,0,30.99,0,0.57,9.18,1.15,0,0.57,0.57,0,0,0.57,0,0,23.53,1.72,1.15,102.71,0.57,1.15,0.57,0,0,2.3,0,0,0,0,22.38,0,0,1.72,0,0
 60-70,0,0,0,3.93,0,24.54,0.98,0,13.74,0,0,0,0,0,0,0.98,0,0,16.69,0,0,75.58,0,0.98,0,0,0,2.94,0,0,0,0,9.82,0,0,0,0,0
 72-82,0,0,0,0,0.98,21.6,0,0,7.85,0,0,0.98,0,0,0,0.98,0,0,22.58,0,3.93,79.51,0,1.96,0.98,0,0,3.93,0,0.98,0,0,7.85,0.98,0.98,1.96,0.98,0
 84-94,0,0,0,6.37,0,20.18,0,3.19,7.43,2.12,0,0,1.06,4.25,0,0,0,0,15.93,1.06,1.06,36.11,1.06,1.06,1.06,0,0,7.43,0,0,0,0,7.43,1.06,3.19,1.06,0,0
 96-106,0,0,0,4.37,0,22.95,0,1.09,7.65,4.37,0,1.09,2.19,1.09,1.09,0,0,0,13.11,1.09,2.19,30.6,0,1.09,2.19,0,0,5.46,0,0,0,0,3.28,1.09,0,2.19,0,0
108-118,0,0,0,5.36,1.53,9.96,0,0,8.43,0.77,0,0,0.77,0.77,1.53,0,0.77,0,9.19,0,2.3,34.47,0,0.77,1.53,0,0,4.6,0,0.77,0.77,0,0.77,0,0,2.3,0,0.77
120,0,0,0,5.88,1.96,13.72,1.96,0,9.8,0,0,0,0,1.96,0,0,0,0,13.72,0,5.88,48.99,0,1.96,3.92,0,3.92,3.92,0,0,0,0,1.96,0,0,1.96,1.96,0
