stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,2,149,17,0,20,0,2,0,15,3,0,1,2,6,0,0,1,6,39,0,0,24,264,24,2,8,6,0,93,1,96,12,6,265,111,0,0,7,0,1
 24-34,0,2.46,113.28,7.39,0,70.59,0,15.6,2.46,19.7,1.64,0,4.93,6.57,18.88,4.1,9.03,2.46,29.55,83.73,3.28,1.64,39.4,750.26,13.13,18.88,13.13,0,0,456.4,0,0.82,9.85,4.1,87.01,224.09,0,0,55,0,4.1
 36-46,0,0,45.92,0.81,0,136.16,0.81,10.47,4.03,37.87,1.61,0.81,3.22,4.03,6.45,2.42,4.83,0,15.31,87.82,4.03,0.81,26.59,472.93,9.67,9.67,7.25,0,0,448.76,0,0,8.86,0.81,0.81,179.66,0,0.81,25.78,0,8.86
 48-58,0,0,34.43,2.3,0,136.57,1.72,13.2,5.74,61.4,1.15,0.57,4.59,6.89,5.16,2.87,5.16,1.15,8.61,131.4,2.87,4.59,26.97,191.08,3.44,10.9,12.62,0,1.15,260.51,0,0,1.15,2.3,0,103.28,0,1.15,20.08,0,6.31
 60-70,0.98,0,50.06,1.96,0,110.91,2.94,15.7,10.8,66.74,5.89,2.94,0,8.83,7.85,4.91,6.87,0.98,3.93,156.06,1.96,10.8,24.54,113.86,0,8.83,13.74,0,0,252.25,0,0,0.98,1.96,0,20.61,0.98,5.89,17.67,0,7.85
 72-82,7.85,0,53.99,19.63,0,74.61,0,11.78,10.8,94.24,16.69,0.98,1.96,20.61,15.71,7.85,13.74,0.98,6.87,264.07,6.87,8.83,17.67,105.04,2.94,30.43,31.41,0,0.98,269.96,0,0,3.93,0,0,15.71,5.89,4.91,39.27,3.93,1.96
 84-94,3.19,0,81.78,26.55,0,66.91,1.06,16.99,6.37,59.47,20.18,2.12,0,23.36,22.3,10.62,9.56,2.12,11.68,147.62,4.25,7.43,20.18,64.78,3.19,24.43,36.11,0,1.06,731.74,0,0,5.31,1.06,0,24.43,13.81,4.25,32.92,7.43,3.19
 96-106,10.93,0,95.08,21.86,0,65.57,4.37,24.04,9.84,64.48,41.53,0,5.46,42.62,36.06,4.37,37.16,2.19,6.56,139.88,12.02,4.37,22.95,85.24,4.37,56.83,41.53,0,2.19,698.33,0,0,2.19,0,0,16.39,16.39,2.19,38.25,1.09,4.37
108-118,5.36,0.77,126.38,9.96,3.06,49.02,4.6,37.53,6.89,57.45,53.62,0,0.77,32.94,29.87,12.26,26.81,3.83,6.13,103.41,9.96,2.3,20.68,90.38,5.36,42.13,36,0,1.53,513.96,0,0,3.83,3.06,0,10.72,36,2.3,29.11,0.77,2.3
120,5.88,0,129.35,9.8,3.92,35.28,5.88,29.4,5.88,62.71,27.44,0,3.92,23.52,13.72,7.84,23.52,7.84,3.92,119.55,5.88,1.96,13.72,54.87,0,25.48,25.48,0,3.92,380.2,0,0,11.76,1.96,0,7.84,17.64,0,23.52,7.84,0
