stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,10.51,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,4.83,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,16.69,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,25.49,1.06,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,1.09,0,148.63,4.37,0,0,1.09,0,2.19,1.09,2.19,1.09,0,15.3,1.09,0,2.19,0,0,0,0
108-118,0,0,3.06,3.06,386.05,5.36,2.3,0.77,0,0.77,3.06,2.3,2.3,0,0,27.57,0.77,0,3.06,0,0.77,0.77,0.77
120,0,0,1.96,0,192.06,1.96,0,0,0,0,0,0,9.8,0,3.92,25.48,0,0,3.92,0,0,0,0
