stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,ionocyte,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,12.59,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,2,2,238,11,3,0,0
 24-34,0,4.93,0,0,0.82,0,0.82,0.82,0,0,0,0.82,0,3.28,4.1,21.34,0.82,0.82,0,0,0,0,135.44,0.82,4.93,1.64,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0,0,2.42,0.81,3.22,17.72,0,0,0,0,0,0,68.48,0,4.03,0.81,0
 48-58,0,0.57,0,0,5.16,1.72,0,0,0.57,0,0.57,0,0.57,1.72,0,14.35,0,0,0,0,0,0,31.56,0,2.87,0,0
 60-70,0,0.98,0,0,3.93,0.98,0,0.98,0,0,0,0,1.96,2.94,0,6.87,0,0,0,0,0,0,20.61,0,1.96,0,0
 72-82,0,0,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0.98,3.93,0,0,0,0.98,0,0,6.87,0,0,0,0
 84-94,0,0,0,0,2.12,2.12,0,0,1.06,0,1.06,0,4.25,3.19,0,5.31,0,0,0,0,1.06,0,9.56,0,0,1.06,0
 96-106,0,2.19,0,1.09,0,1.09,0,0,0,0,1.09,0,0,1.09,0,4.37,0,0,0,0,2.19,0,7.65,0,0,0,1.09
108-118,0,0,0,0,1.53,3.83,0,0.77,0,0,0,0,3.83,2.3,0,2.3,0,0,0,0,0.77,0,11.49,0,0,0,0
120,0,0,1.96,0,0,3.92,0,0,1.96,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,3.92,0,0,0,0
