stage,blastomeres,endoderm,epidermis,eye,glial,gut,mesenchyme,mural_cell,neural,otic,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0
  7-9,0,0,0,0,0,0,0,0,23.66,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,0,6.29,3.15,0,0,0
 14-21,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,5.75,0,0,0,0,0,1.64
 36-46,0,0,0,0,0,0,0,0,14.5,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,13.2,0,0,0,1.15,0,0.57
 60-70,0,0,0.98,0,0,0,1.96,0,34.35,0,0,0,2.94,0,0
 72-82,0,0,0.98,0.98,1.96,0.98,2.94,0,43.19,0.98,0,0,0.98,0.98,0
 84-94,0,0,2.12,4.25,0,0,0,0,31.86,0,0,1.06,0,0,0
 96-106,0,0,0,4.37,1.09,0,0,0,24.04,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,2.3,0.77,25.28,0,0,0,0,0,0
120,0,0,0,3.92,0,0,0,0,31.36,0,0,0,1.96,0,1.96
