stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0.82,0,0,0,6.57,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,0.57,0,0,0,0.57,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,1.96,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,3.93,5.89,0,0,0,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,1.06,0,0,11.68,0,0,0,0,0,1.06,0,0,1.06,0,3.19,2.12,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,3.28,3.28,48.09,1.09,0,2.19,0,1.09,4.37,1.09,0,5.46,2.19,6.56,4.37,0,1.09,0,2.19,0,0,0,0,2.19,1.09,0
108-118,0,0,0,3.06,43.66,0,0.77,0,0,0.77,0.77,0,0.77,3.06,0,2.3,6.89,0,0,0,1.53,0,0,2.3,0,0,0.77,0
120,0,1.96,0,7.84,41.16,0,0,0,0,0,0,0,0,3.92,0,0,3.92,1.96,0,5.88,1.96,0,0,0,0,0,0,0
