stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,ionocyte,mesenchyme,muscle,neural,notochord,periderm,pronephros,spinal_cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 14-21,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,3.28,0,0,0,1.64
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,4.83,0,0,0,3.22
 48-58,0,0,0,0.57,0.57,0.57,0,0,1.72,0,7.46,0.57,0,0.57,1.15
 60-70,0,0,0,4.91,0,0,0,0,0,0,7.85,0,0.98,0,0.98
 72-82,0,0,0,8.83,0,0.98,0,0,0.98,0,5.89,0,0,0,1.96
 84-94,0,1.06,1.06,2.12,0,0,0,0,0,0,3.19,0,3.19,0,1.06
 96-106,0,0,0,3.28,0,1.09,1.09,0,1.09,1.09,2.19,0,1.09,0,0
108-118,0,0.77,0,1.53,0,0.77,0,0,0,0,1.53,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0
