stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,9.44,0,3.15,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,13.95,0,0.82,0,6.57,0,0
 36-46,0,0,0,0,0,0,0,0,12.89,0,0,0,2.42,0,0
 48-58,0,0,1.15,0,0,0,0,0,19.51,0,0.57,0,0,0.57,0
 60-70,0,0,7.85,0,0,0.98,0,0,31.41,0,1.96,0,2.94,0.98,0
 72-82,0,0,8.83,0,0,0,0,0,58.9,0,0.98,0,3.93,0,0
 84-94,0,1.06,9.56,1.06,0,0,0,0,25.49,0,2.12,0,2.12,1.06,0
 96-106,0,2.19,6.56,0,0,1.09,1.09,0,31.69,0,0,0,3.28,0,0
108-118,0,0,2.3,0,0.77,3.06,1.53,1.53,22.98,0,0.77,0,3.06,0,0
120,0,0,5.88,0,0,0,0,0,11.76,0,0,0,3.92,0,1.96
