stage,axial,blastomeres,epidermis,eye,glial,gut,immune,iridophores,melanocytes,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,taste
  3-4,26.36,1792.2,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0
  5-6,30.65,367.78,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,23.66,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,3.15,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.46,0.82,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,8.06,0,0,0,0,0.81,3.22,0
 48-58,0,0,0,1.72,0.57,0,0,0.57,14.92,0,2.87,0.57,0,0,2.87,0
 60-70,0,0,0,0.98,0,0,0,1.96,11.78,0,2.94,0.98,0,0,0,0
 72-82,0,0,0,1.96,0,0,0,5.89,4.91,0,2.94,0.98,0,0,1.96,0.98
 84-94,0,0,1.06,0,0,0,0,6.37,11.68,0,1.06,0,0,0,0,0
 96-106,0,0,0,1.09,0,1.09,1.09,14.21,10.93,1.09,3.28,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0,19.15,14.55,0,1.53,0,0,0,0,0
120,0,0,0,0,0,0,0,7.84,9.8,0,0,0,0,0,1.96,0
