stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,2,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0.82,10.67,0,0,0,0,0.82,4.1,0,1.64,1.64
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,1.61,12.09,0,0.81,0,0.81,1.61,2.42,0,0,0
 48-58,0,0,1.15,2.87,0,0,0,0,0,0,0,0,0,0.57,0,10.9,0,0,0,0,1.15,2.87,0,0.57,0
 60-70,0,0,0.98,9.82,0,0,0,1.96,0,0.98,0,0,0,3.93,0.98,12.76,0,0,0,0,0,2.94,0,0,0
 72-82,0,0,1.96,4.91,0,0,0,1.96,0,0,0,0,0,1.96,0,10.8,1.96,0,0,1.96,0,0.98,0,0,0
 84-94,0,0,3.19,2.12,0,0,0,0,0,0,0,1.06,0,1.06,2.12,2.12,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,1.09,3.28,0,1.09,0,0,1.09,0,1.09,0,0,2.19,1.09,3.28,0,0,0,1.09,1.09,1.09,0,0,0
108-118,0,0,0.77,3.83,1.53,0,0.77,1.53,0.77,0,0,0,0.77,5.36,0.77,5.36,0.77,0,0,0,0.77,0.77,0.77,0,0
120,0,0,5.88,3.92,0,0,0,1.96,0,0,0,1.96,0,3.92,0,13.72,0,0,0,0,1.96,0,0,0,0
