stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,ionocyte,mesenchyme,mural_cell,muscle,neural,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,131.78,2411.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0
  5-6,49.04,435.2,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,21.03,0,7.89,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0,2.46,0,0,0,0.82,0,0.82,0.82,0.82,0,0,0,0,0,0.82,0,0,0,0,0,0,0
 36-46,0,0,0,1.61,1.61,0,0,0,0,0.81,0,0.81,0.81,0,3.22,1.61,0,3.22,0,0,1.61,0,0,0.81,0
 48-58,0,0,0,0,2.3,0,0,0,0,0,1.15,0,0,0,3.44,0,0,0,0,0,1.15,0,0,0,0
 60-70,0,0,0,0,10.8,0,0.98,0,0,0,0,4.91,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,10.8,0,0.98,0,0,0,1.96,2.94,2.94,0,0.98,0,0,0,0,0,1.96,0,1.96,0,3.93
 84-94,0,0,0,1.06,31.86,1.06,1.06,0,0,0,1.06,9.56,0,0,0,2.12,0,0,0,0,0,1.06,0,0,2.12
 96-106,0,0,0,8.74,33.88,0,0,0,0,0,2.19,13.11,3.28,0,3.28,1.09,0,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,6.13,55.92,0,1.53,0.77,0,0,1.53,12.26,0.77,1.53,1.53,2.3,0,1.53,0,0,0,0,1.53,0,0.77
120,0,0,0,1.96,19.6,1.96,5.88,1.96,0,1.96,3.92,5.88,1.96,0,0,1.96,0,0,0,0,0,0,0,0,3.92
