stage,axial,blastomeres,endoderm,epidermis,eye,glial,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature
  3-4,13.18,606.18,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0
  5-6,18.39,263.57,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,2.63,0,5.26,0,0,39.43,2.63,0,0,15.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,0,0
 14-21,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0.81,1.61,0
 48-58,0,0,0,0,0.57,0,0,2.3,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,3.19,0,0,1.06,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0,2.3,0,0.77,1.53,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,11.76,0,0,0,0,0,0,0,0
