stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature
  7-9,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0
 10-12,9.44,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,173.08,0,0,3.15,3.15,0,3.15,0,0,0,0
 14-21,0,0,18,8,0,3,0,0,0,2,0,0,0,19,18,175,1,2,1,0,3,0,1,25,0,2
 24-34,0,0,0.82,4.1,0,4.1,0.82,0,0.82,20.52,0,0,0,4.1,0.82,49.25,0,0,0,0,0,0,0,17.24,0,16.42
 36-46,0,0,0,0.81,0,2.42,0.81,0,0,24.17,0,0,0,2.42,0.81,32.23,0,0,0,0,0,0,0,12.09,0,4.83
 48-58,0,0,0,1.15,0,5.16,1.15,0,0,30.99,0,0,0,0,0.57,22.38,0,0,0,0,0,0,0,14.35,0,8.61
 60-70,0,0,0,1.96,0,0.98,0.98,0,0,23.56,0,0,0,0,0,4.91,0,0,0,0,0,0,0,3.93,0,10.8
 72-82,0,0,3.93,0.98,0,0.98,0,0,0,85.4,0,0,0,3.93,0,5.89,0,0,0,0,0,0,0,1.96,0,15.71
 84-94,0,0,5.31,3.19,0,0,1.06,0,0,100.89,0,0,0,2.12,0,1.06,0,1.06,0,0,0,0,0,1.06,0,7.43
 96-106,0,0,7.65,3.28,0,2.19,0,1.09,0,137.7,1.09,1.09,1.09,1.09,0,3.28,0,0,0,1.09,0,0,0,0,1.09,25.14
108-118,0,0,5.36,4.6,0.77,1.53,3.06,1.53,0,112.6,0,0,0.77,2.3,0,4.6,0,0.77,0,0.77,0,0.77,0,0,0.77,22.21
120,0,0,5.88,7.84,0,3.92,0,0,0,137.18,0,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,27.44
