stage,blastomeres,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,ionocyte,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,2,0,0,4,1,0,0,0,1,0,2,0,0,0
 24-34,0,0,0,0,1.64,0,0,0,0,0,1.64,0,0,10.67,0,0,0,1.64,0,0.82,0,1.64,0,0
 36-46,0,0.81,0,0,1.61,0.81,0,1.61,0,0,0.81,0,0,33.84,0,0.81,0,0.81,0,0,0,4.03,0.81,0
 48-58,0,0,0,0,6.31,0,0,3.44,0,0.57,4.59,0,1.72,29.26,0,0,0,1.15,0,0,0,5.74,0,0
 60-70,0,0,0,0,9.82,0,0,0,0,0,0.98,0,0,32.39,0,0,0.98,0,0,0,0,1.96,1.96,0
 72-82,0,0,0,0,6.87,0.98,0,1.96,0,0,2.94,0,0,10.8,0,0,0.98,0.98,0,0,0,0,0,0
 84-94,0,0,0,0,4.25,0,0,3.19,1.06,0,1.06,1.06,0,9.56,0,0,1.06,2.12,0,0,0,2.12,1.06,0
 96-106,0,1.09,0,0,4.37,0,1.09,1.09,0,0,1.09,1.09,0,6.56,0,0,1.09,3.28,0,0,0,0,1.09,1.09
108-118,0,0,0.77,0,0.77,0,0,0.77,0,0,2.3,0,0,3.06,0,0,0,2.3,0,0,0,0,0,0.77
120,0,3.92,0,1.96,1.96,0,0,1.96,0,0,0,0,0,9.8,0,0,0,1.96,0,0,0,0,0,0
