stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,448.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,159.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0,28.92,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,34.62,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,19,2,0,0,0,0,2,0,0,4,12,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,6.57,0,3.28,0,0,0.82,2.46,0,0,2.46,0,0,0.82,52.53,0,2.46,0.82,0,1.64,0,0,0.82,4.93,13.95,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,15.31,0.81,2.42,0,0,0,0,0,0,0,0.81,0,1.61,99.9,0.81,3.22,0,0,3.22,0,0,1.61,0,20.95,0,0,0.81,0
 48-58,0,0,0,0,0.57,0,0,20.66,0.57,7.46,0,0,0,0,0,0,2.3,1.15,1.15,0.57,65.41,0,0.57,0,0,1.15,0,0.57,1.72,0,12.62,0,0,0.57,0
 60-70,0,0,0,0,0,0,0,38.28,2.94,11.78,0.98,0,0,0,0,0,6.87,0,0,1.96,98.15,0.98,0.98,0.98,0,0.98,0,0,0,0,11.78,0,0.98,0,0
 72-82,0,0,0,0,1.96,1.96,0,25.52,1.96,1.96,0,0,0,0.98,0.98,0,6.87,0,0,0.98,56.94,0,1.96,0.98,0,3.93,0,0,0,0,3.93,0.98,0,0,0.98
 84-94,0,0,0,0,1.06,0,0,25.49,1.06,4.25,0,0,1.06,2.12,0,0,5.31,0,0,1.06,39.3,0,0,0,0,6.37,0,0,2.12,0,4.25,0,0,0,0
 96-106,0,0,0,0,4.37,1.09,1.09,17.49,0,8.74,0,0,1.09,0,1.09,1.09,3.28,1.09,1.09,1.09,36.06,0,2.19,3.28,0,6.56,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,0,4.6,2.3,1.53,13.02,1.53,3.83,0.77,0,0.77,0,0.77,0,3.06,0,0,2.3,33.7,0,0.77,0,0,6.13,0,1.53,0.77,0,2.3,0,0,1.53,0.77
120,0,0,0,0,0,1.96,0,7.84,1.96,0,1.96,0,0,1.96,0,0,3.92,0,1.96,5.88,19.6,0,3.92,0,0,3.92,0,0,1.96,0,0,0,0,0,0
