stage,endocrine_pancreas,eye,glial,iridophores,mesenchyme,neural,olfactory,paraxial_mesoderm,pgc,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,2.63,2.63,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,3.28,0.82,0,0,0,0.82
 36-46,0,2.42,0,0,0,15.31,0,0,0,4.03,0
 48-58,0,5.16,1.15,0,0.57,17.21,0,0,0,2.87,0
 60-70,0,12.76,0,0.98,0,25.52,0,0,0,5.89,0.98
 72-82,0.98,19.63,0,0,1.96,12.76,1.96,0,0,0,0
 84-94,0,12.74,1.06,0,0,10.62,0,0,0,0,0
 96-106,0,7.65,0,0,0,5.46,0,0,0,1.09,0
108-118,0,8.43,0.77,0,0,6.13,0,0,0,0,0
120,0,5.88,0,0,0,3.92,0,0,0,0,0
