stage,endocrine_pancreas,epidermis,eye,fin_epithelia,glial,gut,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,2,0,0,9,2,0,0,3,0,1,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,4.1,0,0.82,29.55,0,0.82,0,8.21,0.82,1.64,0.82,0
 36-46,0,0,4.03,0,2.42,0,0,0,0,1.61,0,0,15.31,0,0,0,6.45,0,3.22,0,0
 48-58,0,0,13.2,0,4.59,0,0,0,0,4.02,0,0,17.21,0,0,0,1.15,0,1.15,0.57,0
 60-70,0,0,2.94,0,9.82,0.98,0,0,0,0.98,0,0,10.8,0,0,0,4.91,0,2.94,0,0
 72-82,3.93,0.98,1.96,0,8.83,2.94,0,0,0,3.93,0.98,0,22.58,0,0,0,3.93,0,2.94,0,0.98
 84-94,0,0,3.19,0,3.19,1.06,0,0,0,1.06,0,0,16.99,0,1.06,2.12,11.68,0,1.06,1.06,0
 96-106,0,4.37,4.37,0,12.02,1.09,1.09,1.09,1.09,3.28,0,1.09,21.86,0,0,0,18.58,0,1.09,1.09,0
108-118,0,2.3,1.53,0.77,3.06,1.53,0,0,0,2.3,0.77,0,17.62,0,0,0.77,27.57,0,0.77,0,0
120,0,3.92,1.96,0,7.84,1.96,0,0,0,0,0,0,27.44,0,0,0,25.48,0,0,0,0
