stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,8,2,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,29,0,0,0,1,3,1,4,9,0,0,1,0,0
 24-34,0,0.82,0.82,0,0.82,8.21,0,0,0,0,0,0,0,0.82,0,1.64,0.82,13.13,0,0,4.1,126.41,0.82,2.46,1.64,2.46,0,0,4.1,25.45,0,0,1.64,0,0
 36-46,0,0.81,0,0.81,0.81,16.11,0,0,0.81,0.81,0,0,0,0,0,0,0.81,8.06,0,0.81,2.42,92.65,0,0,0,4.83,0,0.81,0,12.89,0,0,0,0,0.81
 48-58,0,0,0,1.72,0,25.25,1.72,0,0,4.59,0,0,0,0,0.57,0,0,8.61,0.57,0,2.87,107.3,0,0,0,3.44,0,0,0,16.64,0,0,0.57,0,0
 60-70,0,0,0,0,0,60.85,0.98,0.98,0,9.82,0,0,0,0.98,0,0,0.98,24.54,0,0,0.98,188.45,0,0.98,0,3.93,0,0,0,22.58,0.98,1.96,0,0,0
 72-82,0,0,0,2.94,0,51.05,0,0.98,0,6.87,0,0.98,0.98,0,0,0,0,11.78,0,0,2.94,117.8,0,1.96,0.98,1.96,0,0,0,9.82,0,0,2.94,0,0
 84-94,0,0,0,4.25,0,11.68,0,0,0,1.06,0,0,0,0,0,0,0,16.99,0,0,0,40.36,0,1.06,0,1.06,0,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,1.09,10.93,0,1.09,0,4.37,1.09,1.09,0,0,0,0,0,9.84,0,0,1.09,19.67,0,0,3.28,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,0,6.89,0,0,0.77,1.53,0,0,0,0,0.77,0,0,1.53,0,0,0,25.28,0,0.77,0,0.77,0,0,0,0,0,0,0.77,0,0
120,0,0,0,1.96,1.96,9.8,0,1.96,0,7.84,0,0,1.96,0,0,0,0,7.84,0,0,0,45.08,0,0,0,1.96,0,0,0,1.96,0,0,0,1.96,0
