stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,3.15,0,0,9.44,0,0,0,25.18,0,0,0,0,0,0,0,0
 14-21,0,0,1,548,58,0,1,0,4,0,0,0,2,0,2,0,0,0,0,200,5,0,106,36,1,0,0,0,0,4,4,0,1,3,13,0,0,1,0,0
 24-34,0,0,0,395.65,4.1,0,7.39,0,95.22,1.64,0.82,0.82,9.85,0,0,0,0,0,0,215.89,6.57,0,172.38,64.85,0.82,0,0,0,1.64,4.1,0,0,0.82,0.82,15.6,0,0,1.64,0,0
 36-46,0,0,0,74.12,0.81,0,7.25,0,134.55,8.06,1.61,0,4.83,0.81,0,0,0,0.81,0,154.69,0,4.83,184.5,41.89,0,1.61,0,0,0.81,6.45,1.61,0.81,0,0,10.47,0,0,2.42,0,0
 48-58,0,0,0,17.21,0,0,13.77,0,175.58,37.87,0.57,0,5.74,0,0,0,0,0,0,215.75,1.72,6.89,124.52,24.67,0,0.57,0,0,2.87,6.31,0,0,0,0,4.59,0,0,1.72,0,0.57
 60-70,0.98,0,0,12.76,0.98,0,7.85,0,150.17,45.15,0.98,0,0.98,0,0,0,0,0.98,0,212.01,0,0,53.98,12.76,0,0,0,0,2.94,0.98,0,0.98,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,3.93,0.98,0,16.69,0,164.92,85.4,1.96,1.96,0,0,0,0,0,0,0,317.08,0,4.91,68.72,25.52,0,0.98,0.98,0,0,1.96,0,0,0,0,0.98,0,0.98,0.98,2.94,0
 84-94,0,0,0,13.81,0,0,28.68,0,300.56,57.35,3.19,0,1.06,0,0,1.06,0,0,0,199.66,0,4.25,44.61,9.56,0,1.06,0,0,1.06,4.25,0,0,0,0,0,1.06,0,1.06,2.12,0
 96-106,0,0,0,12.02,1.09,1.09,19.67,1.09,277.58,60.11,4.37,1.09,0,0,0,0,0,0,0,272.12,0,1.09,29.51,29.51,0,3.28,0,0,3.28,2.19,0,0,0,0,0,2.19,3.28,1.09,2.19,0
108-118,0,0,0,13.02,0.77,0,9.96,0,353.11,65.87,1.53,0,1.53,0.77,0,0.77,0.77,0,0.77,236.68,0,0.77,27.57,16.85,0,0.77,0,0,1.53,1.53,0,0,0,0,0.77,3.06,0,0,0,0
120,0,0,0,11.76,0,0,11.76,0,195.98,52.91,1.96,0,1.96,0,0,0,0,0,0,188.14,0,0,23.52,25.48,0,0,1.96,0,1.96,0,0,0,0,0,0,1.96,0,0,1.96,0
