stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,1,2,4,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,6.57,0,0,0,0,0,0,0,0.82,7.39,0,0,0,0,2.46,0,0,1.64,45.97,0.82,0.82,1.64,0,0,4.1,0,5.75,25.45,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,4.83,2.42,1.61,0,0,0,0,0,0,4.03,0,0,0,0,3.22,0.81,0.81,0,170.8,0.81,0.81,0,0,0,2.42,0,4.03,44.31,0,0,0.81,0,0.81
 48-58,0,0,0,2.87,0.57,0,36.72,1.72,0.57,0,6.31,0.57,0,0.57,0,1.15,0.57,1.15,0,0.57,2.87,0.57,0,1.72,250.18,0,0.57,0.57,0,0,5.74,0,5.16,52.22,0,0,1.72,0,1.15
 60-70,0,0,0,2.94,0,0,127.6,5.89,2.94,1.96,23.56,0,0.98,0,0.98,0.98,0,1.96,0,0,16.69,0.98,0,0,439.72,2.94,0.98,2.94,0,0,7.85,0,8.83,71.65,0,0,0.98,0.98,0.98
 72-82,0,0,0.98,12.76,6.87,0.98,186.52,3.93,1.96,2.94,57.92,2.94,0.98,0,1.96,2.94,0.98,4.91,0,0,32.39,0.98,2.94,0.98,465.31,0,4.91,8.83,0,0,6.87,0.98,1.96,46.14,2.94,0,5.89,0.98,0.98
 84-94,0,0,3.19,9.56,10.62,1.06,154,5.31,5.31,2.12,40.36,5.31,2.12,1.06,2.12,3.19,3.19,2.12,2.12,3.19,36.11,5.31,3.19,3.19,212.41,5.31,1.06,10.62,0,0,21.24,3.19,6.37,35.05,0,1.06,6.37,0,0
 96-106,0,0,1.09,14.21,15.3,3.28,133.33,6.56,3.28,1.09,40.44,12.02,0,0,5.46,16.39,1.09,5.46,6.56,0,38.25,13.11,4.37,4.37,225.13,1.09,8.74,20.76,0,1.09,40.44,1.09,5.46,20.76,3.28,2.19,5.46,0,1.09
108-118,0,0,0,23.74,3.06,12.26,107.23,4.6,2.3,0.77,33.7,9.96,0,0.77,6.89,6.89,2.3,3.06,12.26,0.77,33.7,2.3,1.53,3.83,213.7,3.83,0,13.02,0,0.77,16.09,1.53,6.13,14.55,1.53,2.3,6.13,0,1.53
120,1.96,0,0,27.44,5.88,1.96,111.71,5.88,7.84,1.96,35.28,13.72,0,0,5.88,5.88,1.96,1.96,3.92,0,25.48,1.96,1.96,5.88,221.46,1.96,3.92,15.68,0,0,15.68,7.84,5.88,15.68,5.88,0,3.92,0,0
