stage,axial,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,9.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,58.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,394.78,0,0,0,0.57,0,0,0.57,0,0,0.57,0.57,0,0,0,9.75,0,0,0,2.87,0,0,0
 60-70,0,0.98,0,933.43,0,0,0,0.98,0,0,0.98,0,0,0,0.98,0,0,1.96,10.8,0,0,0,3.93,0,0,0.98
 72-82,0,1.96,0.98,811.83,0,0,0,3.93,0,0,0,0.98,0,0,4.91,0,0,0.98,15.71,0.98,0,0,0.98,0,1.96,0
 84-94,0,3.19,0,813.52,1.06,0,0,3.19,0,1.06,0,0,0,2.12,6.37,0,1.06,0,5.31,0,0,1.06,2.12,1.06,0,0
 96-106,0,1.09,2.19,455.72,0,0,0,1.09,1.09,0,0,0,1.09,0,3.28,0,0,1.09,6.56,0,1.09,0,1.09,0,1.09,0
108-118,0.77,0.77,1.53,333.19,0,0.77,0.77,0.77,0.77,0,0,0,0,0,3.83,0.77,0,0.77,10.72,0,1.53,0,0,0,0,0
120,0,3.92,0,260.65,0,1.96,0,0,0,0,0,0,1.96,1.96,3.92,0,0,0,17.64,0,0,0,0,0,0,0
