stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,hatching_gland,immune,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,26.36,1027.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0
  5-6,55.17,649.74,6.13,0,0,0,0,0,0,12.26,0,0,0,0,0,0,12.26,0,0,0,6.13,18.39,0,0,0,0,0,0
  7-9,2.63,18.4,31.54,0,0,0,2.63,0,0,23.66,0,0,0,0,0,0,365.39,0,0,0,110.41,0,0,0,0,0,0,0
 10-12,0,12.59,6.29,0,0,0,15.73,0,0,0,0,0,0,0,0,0,195.11,3.15,0,0,44.06,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,16,0,0,0,0,0,0,0,0,0,23,62,0,0,0,1,3,0,2,5,4,0
 24-34,0,0,0,2.46,0,0,46.79,0,0,0,0,0,0,0,0,0,52.53,78.8,0.82,0,0,3.28,0,0,0,0.82,6.57,0.82
 36-46,0,0,0,1.61,0,0,10.47,0,0,0,0.81,0,0,6.45,0,0,17.72,64.45,0,0,0,1.61,0,0,0,0,1.61,0
 48-58,0,0,0,0,0,0,11.48,2.3,0,0,5.74,0,0,39.02,0,0,16.07,55.66,0,0,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0,0,0,8.83,0.98,0,0,6.87,0,0,47.11,0,0.98,7.85,56.93,0,0,0,0,0,0.98,0,0,0.98,0
 72-82,0,0,0,0,0,0,3.93,0.98,0.98,0,8.83,0,0,120.74,0,0.98,8.83,40.25,0,0,0,1.96,0,0,0,0,2.94,0
 84-94,0,0,0,0,0,0,5.31,2.12,1.06,0,23.36,1.06,0,96.65,0,0,4.25,86.03,0,0,0,1.06,0,1.06,0,0,1.06,1.06
 96-106,0,0,0,4.37,1.09,1.09,5.46,1.09,2.19,0,22.95,0,0,68.85,0,0,3.28,74.31,0,0,0,1.09,0,0,0,0,1.09,0
108-118,0.77,0,0,1.53,1.53,0,2.3,2.3,3.06,0,12.26,2.3,0,55.92,0,0.77,6.13,83.49,0,0,0,0,0,0,0,0,0,0
120,1.96,0,0,0,0,0,5.88,0,5.88,0,15.68,0,1.96,56.83,1.96,1.96,9.8,117.59,0,1.96,0,0,0,0,0,0,1.96,0
