stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,147.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,368.2,3.15,0,0,28.32,0,0,0,3.15,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,2,6,0,12,0,0,0,57,0,1,2,0,0,0,0,0,0,3,0,2,412,1,0,0,1,0,0,1,0,0,5,506,0,0,1,0,0
 24-34,0,0,0,1.64,0,0,12.31,0,0,0,97.68,0,0,0.82,0,0,0,0,0,0,20.52,0,18.88,731.38,0,4.93,0,0,0,3.28,0,0.82,0.82,2.46,672.28,0,0,6.57,0,0
 36-46,0,0,0,1.61,0.81,0,8.86,0,0,0.81,142.6,0,0,2.42,0,0,0,0,0,0.81,102.32,0,29,540.6,0.81,2.42,0.81,0,0,4.03,0,1.61,0,0,588.14,0,0,4.03,0,1.61
 48-58,0,0,0,1.15,0,0,32.71,0.57,1.72,1.15,187.06,0,0,2.87,0.57,0.57,0,0.57,1.15,0.57,90.66,0,25.25,302.4,0,2.3,0,0,0.57,3.44,0,0,0,0,336.25,0,0,7.46,0,1.15
 60-70,0,0,0,2.94,0,0,23.56,0.98,0.98,0,216.92,0.98,0,5.89,0.98,0,0,0,0,1.96,113.86,0,18.65,220.84,0,1.96,0.98,0,0,0,0,0,0.98,0,138.39,0,0.98,15.7,0,0
 72-82,0,0,0,2.94,0,0,39.27,0,0,0,232.65,0,0,2.94,0,0,0.98,0.98,0,0,156.08,0.98,32.39,173.75,0,1.96,0.98,0,0,0.98,0,0,0,0,105.04,0.98,1.96,34.36,1.96,0
 84-94,0,0,0,7.43,1.06,1.06,42.48,0,0,3.19,212.41,1.06,0,2.12,1.06,0,1.06,1.06,0,0,107.27,1.06,24.43,113.64,1.06,4.25,2.12,0,0,2.12,0,0,1.06,0,99.83,1.06,1.06,38.23,2.12,1.06
 96-106,0,0,0,18.58,2.19,0,41.53,0,2.19,1.09,180.32,2.19,0,7.65,1.09,2.19,1.09,3.28,2.19,0,98.36,0,16.39,86.33,1.09,13.11,0,0,0,3.28,0,1.09,0,0,110.38,0,1.09,32.79,2.19,0
108-118,0,0,0,8.43,0.77,0,16.09,0,0,1.53,186.89,1.53,0,2.3,2.3,0.77,0.77,0,0,0,104.94,0.77,23.74,86.55,0,6.13,0,0,0,0.77,0,0,0,0,60.51,0.77,0.77,30.64,0,0
120,0,0,0,9.8,3.92,0,13.72,0,1.96,0,205.78,0,0,1.96,0,0,0,0,0,0,96.03,0,17.64,111.71,0,11.76,0,0,0,1.96,0,0,0,0,84.27,0,1.96,27.44,0,0
