stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11,0,0,0,1,0,2,3,0,0,0
 24-34,0,0,2.46,0,0,4.1,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,119.84,0.82,0,0,1.64,0.82,0.82,35.3,0,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,0,0.81,0,0,0,2.42,0,0,0,286.82,0,0,0,0.81,0,0,78.96,0,0,0
 48-58,0,0,0.57,0,0,18.36,0,0,0,1.72,0,0.57,0,0.57,0,0.57,7.46,0,0,0,325.92,0,0,0,1.72,0,0,43.04,0,0.57,1.15
 60-70,0,0,1.96,0,0,64.78,0,0.98,0.98,3.93,0,0,0,0,0,0,24.54,0,0,1.96,704.73,0,0,0,2.94,3.93,0,49.08,0,0.98,0
 72-82,0,0.98,3.93,0,0,123.69,0,0,0.98,21.6,0,0.98,0,0.98,0,0,42.21,0,0.98,4.91,679.31,0,0.98,0,1.96,0.98,0,16.69,1.96,0.98,0.98
 84-94,0,1.06,8.5,0,0,103.02,0,0,1.06,13.81,0,0,0,0,0,0,18.05,0,0,2.12,375.96,0,0,1.06,7.43,0,0,19.12,0,0,0
 96-106,0,0,7.65,0,0,89.61,1.09,1.09,1.09,14.21,1.09,0,0,1.09,1.09,0,21.86,1.09,0,2.19,319.11,0,0,1.09,4.37,3.28,0,8.74,1.09,0,0
108-118,0,0,3.06,0,0,58.21,0.77,0.77,0.77,14.55,0.77,0,0,0,0.77,0,17.62,0.77,0,0.77,294.13,0,0.77,0,8.43,0.77,0,2.3,0,1.53,0
120,0,0,5.88,1.96,1.96,54.87,0,1.96,0,11.76,0,0,0,0,0,0,9.8,0,0,1.96,352.76,0,0,0,3.92,1.96,0,3.92,0,0,0
