stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.21,0,0,0,0,1.64,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,0,0,20.14,0,1.61,0,0,2.42,0,0,0,0
 48-58,0,0,0,0,14.92,0,0,0,1.72,0,0,0,0,0,0,0,0,0,22.38,0.57,0,0,0,1.15,0,0,0,0
 60-70,0,0,1.96,0,136.43,0,0,0.98,1.96,0,0,0,0,0,0,5.89,0,0,79.5,0,0,0,0,8.83,0,0,0,0
 72-82,0,0,7.85,0.98,200.26,0,0,0,7.85,0,0,0.98,0.98,0,0,9.82,0,0,101.11,0.98,0,0,0,4.91,0.98,0.98,0.98,0
 84-94,0,0,7.43,0,128.51,0,0,0,6.37,0,0,1.06,0,1.06,0,7.43,0,1.06,66.91,0,0,0,2.12,7.43,1.06,1.06,0,1.06
 96-106,1.09,0,2.19,2.19,96.17,0,2.19,0,5.46,0,1.09,0,0,0,0,5.46,1.09,1.09,53.55,0,0,0,0,3.28,0,1.09,0,0
108-118,0,0,3.83,0.77,69.7,0.77,0.77,0,4.6,0,0,0,0,0,1.53,0.77,0,1.53,78.89,0,0.77,0,0,0.77,0,0.77,0,0
120,0,0,1.96,0,58.79,1.96,0,0,7.84,1.96,0,0,0,0,0,3.92,0,0,90.15,0,0,0,1.96,3.92,0,0,0,0
