stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,830.21,13019.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.58,0,0,0,0,0,0,0,0,0,0,0
  5-6,1127.85,14122.68,0,30.65,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,331,36.78,0,0,104.2,0,245.19,0,0,0,0,0,0,0,0,0,0,0
  7-9,123.55,170.87,0,270.76,0,2.63,520.49,0,0,0,0,144.58,0,0,0,0,0,0,0,0,0,0,0,4702.77,149.84,0,0,1511.51,0,10.51,49.95,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,72.38,0,144.76,0,22.03,333.58,0,0,0,0,12.59,0,0,0,0,0,3.15,0,0,0,0,0,2246.94,40.91,0,0,771.01,0,3.15,37.76,3.15,59.79,0,3.15,9.44,0,0,0,0,0
 14-21,0,0,0,3,44,28,58,0,0,13,3,1,1,0,0,0,0,1,0,46,1,0,33,622,8,1,6,11,0,4,7,60,2,0,53,169,0,0,11,0,0
 24-34,0,0,0.82,4.1,21.34,4.1,86.19,0,0,14.78,1.64,0.82,2.46,3.28,4.93,3.28,1.64,2.46,0.82,65.67,1.64,0.82,30.37,720.71,3.28,9.03,5.75,0,0,17.24,0.82,0,1.64,0,8.21,138.72,0,0,27.91,0,0
 36-46,0,0,0,0,4.03,0.81,138.58,0,2.42,26.59,1.61,0,0,1.61,0,0,0,0,0.81,50.76,0,1.61,17.72,567.19,0,8.06,3.22,0,0,9.67,0,0,2.42,0,0,124.07,0,0,10.47,0,0
 48-58,0,0,0,0.57,7.46,1.72,153.21,1.15,2.87,32.71,0,1.15,1.15,0,0,1.15,1.15,0.57,1.15,69.43,1.15,1.15,8.03,370.68,1.15,4.59,0.57,0,0.57,4.59,0,0,0.57,0.57,0,89.51,0,0.57,12.05,0,3.44
 60-70,0,0,0.98,0,10.8,1.96,181.58,3.93,0,40.24,3.93,0,2.94,0.98,0.98,0,0.98,1.96,0,62.82,0.98,0,9.82,328.81,1.96,5.89,2.94,0,0.98,3.93,0,0,0.98,0,0,45.15,0,0,3.93,0,0
 72-82,0,0,0,0,5.89,0,138.41,0,1.96,46.14,5.89,0,2.94,3.93,0,2.94,2.94,0.98,0.98,99.15,0.98,3.93,8.83,239.53,1.96,6.87,1.96,0,2.94,7.85,0,0,0,0,0,21.6,0,2.94,14.72,0.98,0
 84-94,0,0,0,0,14.87,5.31,73.28,2.12,0,16.99,6.37,0,0,5.31,2.12,5.31,3.19,1.06,0,46.73,0,6.37,12.74,101.96,0,3.19,4.25,0,1.06,21.24,0,0,3.19,0,0,15.93,1.06,2.12,5.31,3.19,0
 96-106,0,0,0,0,8.74,5.46,59.01,0,1.09,19.67,4.37,0,4.37,7.65,1.09,2.19,1.09,2.19,0,36.06,0,2.19,5.46,72.13,0,4.37,9.84,0,2.19,19.67,0,0,1.09,0,0,2.19,1.09,2.19,9.84,0,1.09
108-118,0,0,0.77,0.77,14.55,1.53,34.47,0.77,1.53,22.21,3.06,0,1.53,5.36,0.77,3.83,1.53,3.83,1.53,31.4,0,2.3,2.3,96.51,0,4.6,3.83,0,0.77,16.09,0,0,0,0.77,0,2.3,0,0,5.36,0.77,1.53
120,0,0,0,0,13.72,3.92,29.4,0,3.92,11.76,5.88,0,0,11.76,1.96,0,0,3.92,0,17.64,0,0,3.92,80.35,1.96,3.92,1.96,0,1.96,11.76,0,0,0,0,0,1.96,0,1.96,7.84,0,1.96
