stage,epidermis,eye,ionocyte,mesenchyme,mucous,neural,olfactory,otic,periderm,taste
  7-9,0,0,0,0,0,0,0,0,2.63,0
 10-12,0,0,0,0,0,9.44,0,0,3.15,0
 14-21,0,0,1,0,0,0,0,0,1,0
 24-34,0,0.82,0.82,0,1.64,1.64,0.82,0,8.21,0
 36-46,0,0,0,0,0.81,2.42,0,0,14.5,0
 48-58,0,0.57,0,0,0,0,0,0,2.3,0
 60-70,0.98,0,0,0,0.98,0.98,0,0,8.83,0
 72-82,0.98,0,0,0,0.98,0,0,0,1.96,0.98
 84-94,1.06,0,0,0,1.06,0,0,0,15.93,1.06
 96-106,1.09,1.09,0,0,0,0,0,1.09,4.37,1.09
108-118,2.3,0,2.3,0.77,0,0.77,0.77,0,4.6,0.77
120,0,0,0,0,0,0,1.96,0,3.92,0
