stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle,xanthophores
  3-4,0,434.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,5.26,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,1.64,32.01,0,1.64,0,0,0,0,0,4.93,0,0,0,0
 36-46,0,0,0.81,0.81,0,2.42,0.81,0.81,0,0,0,0.81,0,0,11.28,0,7.25,29.81,0.81,0,0,0,0,0,0,13.7,0,0,0,0
 48-58,0,0,0,0,0,3.44,0,1.15,1.72,0,0,0,0,0.57,32.71,0,3.44,35,0.57,0,0,0,1.72,0,0,7.46,0,0.57,0,0
 60-70,0,0,0.98,0.98,0,6.87,0,0.98,6.87,0,0,0,0,0,60.85,0,2.94,53.98,0,0,0,2.94,0,0,0,7.85,0,0.98,0,1.96
 72-82,0,0,0.98,3.93,0,10.8,0,2.94,12.76,1.96,0,0,0,0,105.04,1.96,9.82,55.95,0,0,0,0.98,1.96,0,0,8.83,1.96,0.98,3.93,0
 84-94,0,0,1.06,4.25,0,11.68,0,1.06,5.31,4.25,1.06,0,0,0,91.34,1.06,3.19,40.36,0,0,0,1.06,6.37,0,0,3.19,2.12,1.06,3.19,0
 96-106,0,0,1.09,3.28,0,13.11,0,3.28,6.56,1.09,0,1.09,0,1.09,77.59,2.19,2.19,48.09,0,2.19,0,1.09,9.84,0,0,6.56,5.46,1.09,3.28,0
108-118,0,0,1.53,12.26,0,7.66,0,0.77,3.06,3.06,0,0.77,0.77,0.77,73.53,0.77,2.3,45.96,0.77,1.53,0,1.53,6.13,0,0,3.06,9.19,0.77,1.53,0.77
120,0,0,0,3.92,0,9.8,0,1.96,11.76,0,0,0,0,0,66.63,0,5.88,37.24,0,5.88,0,1.96,5.88,0,0,1.96,1.96,0,1.96,0
