stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,0,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,30.65,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,3.15,0,0,9.44,0,25.18,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,1,0,3,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,0,0,4,0,1,1,0,0,27,2,3,0,0,1,0,0
 24-34,0,0,0,1.64,9.85,0,0,0,0,0,0,2.46,0,0,0.82,0,3.28,0,0,0,0,4.93,0,0,0.82,23.8,0,4.1,0.82,0,0,46.79,0,6.57,0,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,1.61,0,2.42,0,0,0,0,0,0,1.61,0,0.81,0,1.61,0,0,25.78,0,0,4.83,42.7,0,3.22,0,0,0,45.92,0,15.31,0,0.81,1.61,0,0
 48-58,0,0,0,0,0,5.74,0,15.49,0,0,0.57,0.57,0,0,0.57,0,0.57,0,0,0,0.57,16.64,0.57,0,1.15,56.23,0,2.87,0,0,0,22.95,0,20.08,0,0,4.02,0,1.15
 60-70,0,0,0.98,0,0.98,14.72,0,34.35,0,2.94,0,4.91,0.98,0,0,1.96,0,0,0.98,0,0,40.24,0,0.98,0.98,101.1,0,3.93,0,0,0,27.48,0,28.46,0,0,0,0,0.98
 72-82,0,0,0.98,0,4.91,22.58,0,29.45,0,4.91,0,7.85,0,0,0.98,1.96,0,0,0,0,0,62.83,0.98,0,2.94,119.76,0,4.91,0.98,0,0.98,32.39,0,20.61,0,0.98,4.91,2.94,0
 84-94,0,0,0,0,5.31,41.42,0,35.05,0,6.37,1.06,6.37,4.25,0,0,1.06,2.12,0,3.19,1.06,0,48.85,1.06,1.06,1.06,69.03,0,7.43,3.19,0,1.06,98.77,0,13.81,0,0,4.25,0,2.12
 96-106,0,0,3.28,0,12.02,36.06,0,18.58,0,3.28,1.09,10.93,8.74,0,1.09,1.09,0,0,1.09,0,0,61.2,0,3.28,2.19,59.01,0,4.37,4.37,0,0,56.83,0,3.28,1.09,1.09,5.46,0,3.28
108-118,0,0,1.53,0,17.62,9.96,0.77,18.38,0.77,7.66,0,3.83,6.89,0,0.77,2.3,2.3,0.77,0.77,0.77,0,44.43,0,1.53,3.06,79.66,0,6.13,3.06,0,0,68.94,0,3.06,1.53,0.77,6.89,1.53,3.83
120,0,0,0,0,9.8,17.64,0,19.6,0,9.8,3.92,1.96,3.92,0,0,0,3.92,0,1.96,0,0,37.24,0,0,1.96,80.35,0,5.88,7.84,0,0,43.12,0,3.92,0,0,1.96,0,0
