stage,blastomeres,endocrine_pancreas,endoderm,erythrocytes,eye,fast_muscle,fin_epithelia,gut,mesenchyme,neural,olfactory,paraxial_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,13.95,0,0,0.82,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0.81,21.75,0,0,1.61,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.72,20.66,0,0,1.15,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,0,0,0,2.94,13.74,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0,0,0,0,0,57.92,0,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,0,0,0,3.19,54.16,0,0,0,0,0,0
 96-106,0,0,0,0,2.19,0,0,1.09,2.19,3.28,73.22,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0.77,53.62,0,0.77,0,0.77,0,0
120,0,0,0,0,0,1.96,0,0,0,1.96,35.28,0,0,0,0,0,0
