stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,3,5,3,0,0,0,0,0,1,0,4,7,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,0,2.46,0,0,0,0,0,0,1.64,0.82,0.82,0.82,0.82,0,0,4.93,2.46,0,0,13.95,4.93,1.64,2.46,0,3.28,0,1.64,0.82,0.82,6.57,0,0,3.28,0,0
 36-46,0,0,0,0,1.61,0,0,3.22,0,0,0,1.61,0.81,0,0,0,1.61,0,0,0.81,0,8.06,4.83,0,0,16.92,4.83,0.81,4.03,0,6.45,0,0.81,0,0,4.83,0,0,1.61,0,3.22
 48-58,0,0,0,0,2.3,0,0,5.16,0.57,0,0.57,5.16,2.3,0,2.87,0,0,0,0.57,3.44,0.57,46.48,5.16,0.57,1.72,19.51,2.87,1.15,4.02,0.57,8.03,0,0,0,0,6.31,0,0,2.87,0,2.87
 60-70,0,0,0,0,2.94,0,0,4.91,0,0.98,1.96,26.5,21.59,0,0,0,0,0,0,10.8,0,180.6,5.89,1.96,2.94,13.74,2.94,0,7.85,1.96,13.74,0,0,0,0,3.93,0,0.98,3.93,0,3.93
 72-82,0,0,7.85,0,9.82,0.98,0,24.54,0,0.98,1.96,69.7,148.23,0.98,0.98,3.93,0,0.98,0.98,33.38,0,321.99,18.65,4.91,5.89,57.92,1.96,0,13.74,2.94,52.03,0,1.96,0,0,4.91,1.96,0,2.94,1.96,2.94
 84-94,0,0,7.43,0,20.18,1.06,0,19.12,0,2.12,3.19,40.36,327.11,0,2.12,2.12,3.19,0,1.06,87.09,0,246.39,11.68,3.19,3.19,25.49,4.25,0,5.31,0,115.76,0,2.12,0,0,1.06,2.12,1.06,5.31,4.25,2.12
 96-106,0,0,5.46,0,50.27,3.28,0,44.81,0,7.65,2.19,39.34,490.69,0,5.46,3.28,8.74,2.19,8.74,132.23,0,134.42,19.67,3.28,8.74,83.06,0,4.37,12.02,5.46,267.75,0,2.19,0,0,4.37,4.37,3.28,8.74,5.46,4.37
108-118,0,0,4.6,0.77,55.15,1.53,1.53,51.32,0,14.55,0,25.28,605.11,0,1.53,0.77,9.96,3.06,0.77,213.7,0.77,99.58,22.21,4.6,2.3,80.43,3.83,4.6,5.36,0,311.75,0,5.36,0.77,0,0.77,15.32,0.77,9.19,3.06,2.3
120,0,0,5.88,0,47.03,0,0,15.68,0,5.88,0,19.6,325.32,0,1.96,3.92,1.96,0,5.88,97.99,0,52.91,19.6,1.96,0,60.75,3.92,5.88,7.84,0,235.17,0,1.96,0,0,1.96,3.92,1.96,1.96,0,1.96
