stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368.98,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,453.59,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,10.51,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,76.23,0,0,0,5.26,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,47.2,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,884.3,3.15,0,0,22.03,0,18.88,0,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,1519,3,0,5,0,9,0,1,0,1,0,0,3,0,1,0,0,20,8,0,16,57,2,4,14,1,0,306,5,0,0,4,33,0,0,0,0,0
 24-34,0,0,0,1170.54,0.82,0,13.13,0,87.01,0.82,0.82,0,0,0.82,0.82,1.64,0.82,0.82,0.82,0.82,22.16,22.98,0,6.57,161.71,1.64,22.16,4.1,0,0,426.85,0,2.46,0.82,2.46,51.71,0,0,4.93,0,0
 36-46,0,0,0,649.37,0,0,16.11,0,129.71,2.42,4.83,0.81,0,0,0,2.42,0,1.61,0,0,35.45,8.86,1.61,17.72,105.54,0.81,16.92,0.81,0,0,332.74,0,0,0,0,57.2,0,0,5.64,0,1.61
 48-58,0,0,0,537.08,1.15,0,26.97,0.57,164.11,1.15,4.59,0.57,0.57,0.57,1.72,1.72,0,1.15,0,0.57,36.72,6.89,8.61,7.46,81.48,0.57,9.18,0.57,0,0.57,210.01,0,0,0,0,64.84,0,1.72,1.72,0,0.57
 60-70,0,0,0,533.95,0,0,35.33,0,155.08,2.94,11.78,6.87,0.98,0,0.98,3.93,0,2.94,0,0,73.61,8.83,13.74,9.82,67.73,0.98,12.76,0,0,0,298.38,0,0.98,0,0,50.06,3.93,9.82,1.96,5.89,0
 72-82,0,0,2.94,573.29,0,0,31.41,0,170.81,0.98,11.78,18.65,0,0.98,0.98,13.74,0,1.96,0,0,84.42,10.8,10.8,10.8,45.16,0,17.67,3.93,0,0,248.36,0,0,0,0,37.3,15.71,6.87,6.87,17.67,0.98
 84-94,0,0,1.06,1032.3,0,0,27.61,0,306.93,1.06,8.5,58.41,0,1.06,0,28.68,3.19,0,0,0,52.04,18.05,19.12,2.12,37.17,0,43.54,2.12,0,0,837.95,0,2.12,0,0,25.49,78.59,8.5,3.19,15.93,0
 96-106,0,0,5.46,1254.59,8.74,2.19,33.88,0,347.53,2.19,20.76,134.42,0,5.46,7.65,52.46,1.09,5.46,4.37,0,100.54,36.06,16.39,14.21,90.71,2.19,74.31,3.28,0,2.19,1137.65,0,5.46,0,0,53.55,113.66,13.11,3.28,32.79,4.37
108-118,1.53,0,3.06,1253.88,0,2.3,31.4,0,523.15,4.6,16.85,176.17,0,0.77,1.53,76.6,0,6.13,0.77,0,81.19,38.3,6.89,6.13,60.51,0.77,54.38,3.83,0,0.77,1303.67,0,0.77,0.77,0,29.87,170.81,7.66,9.96,30.64,0
120,0,0,3.92,650.65,5.88,1.96,13.72,0,305.73,1.96,5.88,60.75,0,1.96,1.96,23.52,3.92,3.92,3.92,0,37.24,17.64,3.92,1.96,54.87,0,23.52,3.92,0,1.96,640.85,1.96,0,0,0,27.44,48.99,1.96,11.76,27.44,1.96
