stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,89.38,5.26,0,0,28.92,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.88,0,0,0,18.88,0,0,0,0,3.15,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,59,1094,10,0,10,5,0,3,34,0,0,0,6,0,0,0,0,7,11,0,3,161,4,0,1,2,0,1,1,3,9,0,6,35,0,0,6,0,0
 24-34,0,0,3.28,38.58,1529.25,0.82,0,14.78,86.19,0,5.75,15.6,0.82,0,1.64,0.82,0,1.64,9.03,0,29.55,22.98,0,10.67,160.07,27.09,3.28,0.82,0,0,4.93,0,0,23.8,0.82,2.46,40.22,0,0,10.67,0,0
 36-46,0.81,0,0,4.83,825.81,0,0,10.47,132.94,0.81,5.64,12.09,0,2.42,4.03,3.22,0,4.03,6.45,0.81,37.87,12.09,1.61,4.03,82.98,34.64,4.83,0.81,0,0.81,3.22,0,0,16.92,0,0,21.75,0,0.81,4.03,0,0
 48-58,0,0,0,2.3,772.34,0,0,25.25,212.31,2.87,8.61,18.36,0,0.57,8.61,0.57,0,3.44,3.44,0.57,34.43,6.31,6.31,5.74,70.58,41.31,4.02,4.59,0,0,4.59,0,0,4.02,0,0,18.94,0,1.15,4.02,0,3.44
 60-70,1.96,0,2.94,0.98,756.75,0,0,26.5,192.38,8.83,4.91,40.24,0,0.98,11.78,0,0.98,9.82,4.91,0.98,39.26,8.83,6.87,3.93,58.89,43.19,4.91,7.85,0,0.98,10.8,0,0,9.82,0,0,6.87,1.96,0,0.98,0,0
 72-82,0,0,11.78,0.98,906.07,1.96,0,33.38,214,17.67,11.78,70.68,0.98,1.96,12.76,6.87,0,13.74,4.91,0,73.62,11.78,7.85,8.83,63.81,36.32,15.71,17.67,0,0,6.87,0,0,13.74,0,0,9.82,0.98,0.98,1.96,1.96,1.96
 84-94,2.12,0,6.37,4.25,1726.87,3.19,3.19,46.73,419.5,15.93,9.56,193.29,0,2.12,23.36,21.24,1.06,18.05,12.74,0,50.98,15.93,11.68,9.56,37.17,74.34,14.87,18.05,0,0,14.87,1.06,0,22.3,1.06,0,7.43,13.81,3.19,2.12,3.19,0
 96-106,0,0,18.58,5.46,2004.28,4.37,4.37,39.34,409.82,24.04,10.93,158.46,0,5.46,18.58,19.67,1.09,22.95,14.21,0,78.68,31.69,7.65,4.37,92.89,57.92,26.23,31.69,0,2.19,5.46,1.09,0,8.74,0,0,8.74,6.56,0,5.46,3.28,0
108-118,0.77,0,3.06,8.43,1929.46,0,5.36,45.96,549.96,20.68,8.43,194.55,0,2.3,23.74,31.4,0,22.98,21.45,1.53,62.04,16.09,6.89,5.36,46.72,72.77,16.09,24.51,0,0,11.49,0,0,16.85,0,0,8.43,17.62,2.3,2.3,2.3,0.77
120,0,0,1.96,1.96,1244.46,3.92,1.96,29.4,339.04,11.76,5.88,115.63,0,0,27.44,11.76,1.96,25.48,5.88,0,58.79,15.68,5.88,0,58.79,96.03,13.72,19.6,0,0,9.8,0,0,7.84,0,0,1.96,7.84,1.96,5.88,5.88,0
