stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,hatching_gland,heart,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,0,2.63,0,0,2.63,0,0,0,0,0,60.46,0,7.89,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,1.64,0.82,1.64,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0.81,0,4.03,0,0
 48-58,0,0,0,0,2.3,1.72,0,0,0,0.57,0,0,0,2.3,0,0,0,0,0,7.46,0,0
 60-70,0,0,0,0,0,1.96,0,0,0,1.96,0.98,0,0.98,0.98,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0,0,0.98,0,5.89,0,0,0.98,0,0,0,1.96,0,0,0,0,0.98,13.74,0,0.98
 84-94,0,0,1.06,0,2.12,0,1.06,0,0,1.06,1.06,0,0,4.25,0,0,0,0,0,15.93,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,1.09,0,1.09,0,2.19,0,0,0,0,0,7.65,1.09,0
108-118,0,0,0,0,0,0,1.53,0,0,0,1.53,0,0,3.06,0,0,0,0,0,4.6,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,0
