stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,94.41,18.88,0,0,22.03,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,1,3,0,0,43,0,0,0,0,6,0,49,1,4,18,5,0,1,1,23,1,134,0,0
 24-34,0,0,0,0,2.46,0,1.64,0,0,45.97,0,0.82,0,0,4.93,0.82,36.94,0,31.19,9.03,0,0.82,0,0,25.45,1.64,109.17,0,0
 36-46,0,0,0,0,0,0,0.81,0,0.81,23.36,0.81,0,0,0,0.81,0.81,19.34,0.81,33.84,1.61,0,0,0,0,8.06,0,53.17,0,0
 48-58,0,0,0,0,0.57,0,2.3,0,0,26.4,0.57,0,1.15,0,1.15,0.57,14.92,0,28.69,4.59,0,0,0,0,3.44,0,71.73,0,1.15
 60-70,0,0,0,0,0,0.98,1.96,0.98,0,36.32,0,0,1.96,0,0,0,17.67,0,44.17,5.89,0,1.96,0,0,1.96,0,42.21,0,0
 72-82,0,0,0,0,0,0,2.94,0,0,50.06,0.98,0,9.82,0,2.94,0,10.8,0,79.51,21.6,0,0,0,0,1.96,0,22.58,0,0
 84-94,0,0,0,0,0,0,2.12,0,0,27.61,1.06,0,6.37,0,0,1.06,9.56,0,59.47,20.18,0,0,0,0,4.25,0,15.93,0,0
 96-106,0,0,0,0,1.09,0,5.46,0,0,19.67,1.09,1.09,18.58,0,6.56,0,5.46,0,130.05,30.6,0,1.09,0,0,3.28,0,17.49,1.09,1.09
108-118,0,0,0,0,0.77,0,2.3,0,0.77,11.49,0,0,4.6,1.53,1.53,0,6.13,0,62.04,15.32,0,0,0,0,3.83,0,8.43,0,0.77
120,0,0,1.96,0,0,0,3.92,0,0,3.92,0,0,7.84,0,1.96,0,7.84,0,31.36,9.8,0,0,0,0,1.96,0,3.92,0,0
