stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,162,7,0,0,1,0,1,0,2,0,0,0,0,0,0,10,0,0,0,16,5,3,0,6,0,0,0,7,8,0,8,0,0,0,0,0,0
 24-34,0,0,11.49,350.51,0,17.24,0.82,15.6,0.82,0.82,2.46,0.82,0,0,0.82,9.03,0.82,0.82,13.95,2.46,0,6.57,80.44,9.03,1.64,0,0,0,0.82,0,0,23.8,0,19.7,13.95,0,0,1.64,0,0
 36-46,0,0,4.83,210.28,0,16.92,4.83,17.72,0.81,2.42,1.61,0,0,0,0,7.25,1.61,0,12.09,0.81,0,10.47,208.67,5.64,0,0,0,0,0.81,0,0,11.28,0,0.81,28.2,0,0,0,0,0
 48-58,0,0,3.44,211.73,0,21.8,9.75,24.1,0,6.31,2.87,0,1.15,0,0,8.61,0,0,20.66,2.3,0,9.18,300.67,4.02,2.3,2.87,0,0,0,0,0,8.61,0,0,28.69,0,0,0,0,1.72
 60-70,0,0,0,165.88,0,59.87,9.82,19.63,0.98,26.5,7.85,0,2.94,0.98,0,8.83,1.96,0,46.13,1.96,0,12.76,488.8,0,1.96,1.96,0,0,0,0,0,10.8,0,0,43.19,0,1.96,0.98,4.91,0
 72-82,0,0,0,199.28,0,106.02,4.91,17.67,0,57.92,10.8,0,2.94,2.94,0,11.78,0,0,88.35,0,2.94,14.72,464.33,1.96,2.94,0.98,0,3.93,0.98,0,0,13.74,0,0,40.25,0,2.94,0,9.82,0
 84-94,0,0,2.12,279.32,0,97.71,10.62,43.54,1.06,29.74,9.56,0,3.19,3.19,3.19,6.37,3.19,0,76.47,1.06,0,12.74,249.58,3.19,3.19,3.19,0,1.06,12.74,0,0,16.99,0,0,24.43,2.12,10.62,1.06,21.24,0
 96-106,0,0,0,318.02,1.09,87.43,6.56,25.14,2.19,31.69,7.65,1.09,5.46,6.56,0,5.46,1.09,0,77.59,1.09,3.28,15.3,210.92,0,5.46,8.74,0,8.74,15.3,0,0,15.3,0,0,10.93,1.09,6.56,2.19,27.32,3.28
108-118,0.77,0,0,309.45,1.53,69.7,13.79,36.77,0,40.6,4.6,0,3.06,6.13,9.96,6.89,1.53,0,67.4,1.53,0.77,12.26,233.62,0,5.36,5.36,0,4.6,9.96,0,0,18.38,0.77,0,7.66,1.53,10.72,2.3,19.92,2.3
120,0,0,0,250.85,0,48.99,17.64,41.16,0,45.08,0,1.96,3.92,3.92,0,7.84,0,0,62.71,9.8,1.96,13.72,301.81,0,1.96,5.88,0,3.92,5.88,0,0,25.48,0,0,3.92,0,5.88,0,33.32,1.96
