stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,11,0,1,0,0,0,7,0,0,0,0,0,0,0,0,6,0,0,3,71,1,0,0,1,0,5,5,9,1,10,33,0,0,0,0,1
 24-34,0,0,11.49,0,9.03,0.82,0.82,0,7.39,0.82,0,0,0,0.82,0,0,0,18.06,0,0,6.57,132.16,2.46,1.64,0.82,0,0,32.01,0.82,0.82,0.82,1.64,51.71,0,0,2.46,0,2.46
 36-46,0,0,2.42,0.81,16.11,0.81,0.81,1.61,7.25,0,0.81,0,0,0,0.81,0,1.61,11.28,2.42,0.81,1.61,78.96,0.81,1.61,0,0,0,25.78,0,4.03,0,0,29,0,0,0.81,0,0
 48-58,0,0,2.3,0,21.8,2.87,2.3,0,9.75,0,0.57,0.57,0,0,0,0,3.44,12.62,0.57,0,3.44,37.87,0.57,1.15,1.15,0,0,8.61,0,1.72,0.57,0,16.07,0,0,0.57,0,0.57
 60-70,0,0,4.91,1.96,12.76,0,3.93,0,4.91,0,0,0,0,0,0,0,0,13.74,0.98,0,2.94,23.56,0,0,0,0,0,12.76,0,3.93,0,0,6.87,0,0,1.96,0.98,0
 72-82,0,0,2.94,0.98,11.78,0,1.96,1.96,11.78,0.98,0,0,0,0,0,0,0,13.74,0,0,0.98,21.6,0,0.98,5.89,0,0,0.98,0,0.98,0.98,0,2.94,0.98,0,0.98,0,0
 84-94,0,1.06,10.62,2.12,13.81,0,2.12,1.06,7.43,0,1.06,1.06,1.06,0,0,0,0,8.5,0,1.06,0,14.87,1.06,3.19,5.31,0,1.06,16.99,0,0,0,0,4.25,1.06,0,1.06,0,0
 96-106,0,0,3.28,1.09,8.74,1.09,3.28,0,6.56,1.09,0,1.09,0,0,0,0,0,4.37,0,1.09,2.19,10.93,1.09,2.19,15.3,0,0,8.74,0,1.09,0,0,1.09,0,0,2.19,1.09,0
108-118,0,0,4.6,0.77,6.13,0,0.77,0.77,5.36,1.53,0,1.53,0,0.77,0.77,0.77,1.53,6.89,0,0.77,0.77,20.68,0.77,3.06,6.13,0,0.77,6.89,0,0.77,0.77,0,0,0,0.77,0.77,0,0
120,0,0,1.96,1.96,1.96,1.96,1.96,0,3.92,0,1.96,1.96,0,0,1.96,0,0,3.92,0,1.96,1.96,27.44,0,3.92,5.88,0,0,21.56,0,3.92,3.92,0,0,0,0,1.96,0,0
