stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature
 14-21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,1,6,0,0,0
 24-34,4.1,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,80.44,0.82,0,0,0,0,34.48,0,0,0
 36-46,0.81,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,251.37,0,0,0,0,0,47.53,0,0,0
 48-58,3.44,0,0,0.57,21.8,0,0.57,2.3,0,0,0,0,0,2.3,0.57,0.57,380.43,0.57,0.57,0,0,0,56.23,0,0,0.57
 60-70,1.96,0,0,0,106.99,0,0,1.96,0,0,0.98,0,0,0.98,0,0,626.21,0,0,2.94,0.98,0,78.52,0,0,0
 72-82,2.94,0,0.98,0,129.58,0,1.96,8.83,1.96,0,0,0,0.98,8.83,0,0,619.43,0,0,0,0,0,51.05,0,0,0
 84-94,6.37,0,3.19,0,65.85,0,1.06,9.56,0,0,0,1.06,1.06,6.37,0,1.06,323.92,0,0,1.06,0,0,30.8,0,1.06,1.06
 96-106,7.65,0,2.19,0,77.59,2.19,0,6.56,1.09,1.09,0,0,2.19,5.46,1.09,1.09,274.3,0,1.09,0,0,0,12.02,0,0,0
108-118,3.83,0,2.3,0,56.68,0,0,3.83,0,0.77,0,0,0,5.36,0,0.77,307.15,0.77,0.77,0,0,0,15.32,0.77,0,1.53
120,1.96,1.96,0,0,19.6,0,0,9.8,0,1.96,0,0,1.96,3.92,0,0,293.97,0,0,0,0,0,9.8,0,0,1.96
