stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,42.06,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,6.29,0,0,6.29,22.03,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,27,8,1,0,0,0,0,7,0,0,1,0,0,0,0,2,0,0,4,1,0,10,0,179,1,18,2,2,0,2,0
 24-34,0,0,0,0,6.57,0,0.82,0,0,0,0.82,1.64,0,0,1.64,0,0,0,0,5.75,0,5.75,20.52,0.82,2.46,0.82,0,276.63,0,4.1,0,7.39,0,12.31,0
 36-46,0,0,0,0,4.83,0,2.42,0,0.81,0,0,1.61,0.81,0,1.61,0,0,0.81,0.81,4.03,0.81,0.81,10.47,1.61,1.61,0,0,189.33,0,3.22,0,8.06,0,3.22,0
 48-58,0,0,0,0,2.87,0,5.74,0,1.15,0,0.57,1.72,0,0,0.57,0,0.57,0.57,0.57,3.44,1.15,1.72,17.79,0,1.15,0,0,140.01,0,2.87,0,6.31,0,5.74,0.57
 60-70,0,0,0,0,8.83,0,3.93,0,4.91,0,3.93,3.93,0,0,1.96,0,0.98,0,0,1.96,0,0,17.67,0.98,0.98,1.96,0,143.3,0,3.93,0,0.98,0,0.98,0
 72-82,0,0,1.96,0,15.71,0,6.87,0,1.96,0,3.93,14.72,0,0.98,2.94,0,0.98,0.98,0,6.87,0.98,0,20.61,0.98,0.98,0.98,0,122.71,0,0.98,0,0.98,0,2.94,0
 84-94,0,0,0,0,28.68,1.06,6.37,0,4.25,0,2.12,23.36,0,0,8.5,0,0,2.12,1.06,6.37,1.06,0,12.74,0,2.12,0,0,328.17,0,2.12,0,4.25,0,2.12,0
 96-106,0,0,6.56,0,39.34,1.09,5.46,0,9.84,0,5.46,37.16,2.19,1.09,10.93,0,3.28,2.19,0,5.46,4.37,1.09,26.23,1.09,2.19,1.09,0,295.07,0,5.46,0,0,0,3.28,0
108-118,0,0,3.06,0,39.83,0,2.3,0,13.79,0.77,5.36,48.26,0,0.77,7.66,0,1.53,6.13,0.77,1.53,2.3,1.53,16.09,0.77,1.53,0.77,0,219.83,0,0.77,0,0,0.77,1.53,0
120,0,0,0,1.96,29.4,1.96,0,1.96,7.84,0,1.96,48.99,0,0,3.92,1.96,1.96,1.96,0,1.96,1.96,1.96,21.56,0,7.84,0,0,145.02,0,1.96,0,1.96,0,0,0
