stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,527.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,2.63,0,10.51,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,220.81,10.51,0,0,86.75,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,0,12.59,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,144.76,12.59,0,0,69.23,0,0,0,9.44,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,4,10,7,0,14,0,0,0,3,1,0,0,0,3,0,0,1,0,9,0,0,9,137,8,0,0,1,1,0,30,1,1,34,50,0,0,0,0,0
 24-34,0,0,0,0,5.75,0,0,14.78,0,0,0,5.75,0.82,0,1.64,0,2.46,0,0,0,0,15.6,0,0.82,5.75,134.62,1.64,4.93,0,0,0,0,0,0,0,5.75,37.76,0,0,2.46,0,0.82
 36-46,0,0,0,0,0.81,0.81,0,14.5,0,0,1.61,12.09,0,0,0.81,0,0.81,0,1.61,1.61,0,13.7,0,1.61,4.03,91.04,0.81,1.61,0.81,0,0.81,0,0,0.81,0,0,34.64,0,0,1.61,0.81,0
 48-58,0,0,0,0,0,0,0,22.38,0,0,1.15,12.62,0,0,0.57,0,0,0,0,0.57,0,27.54,0,1.15,2.87,74.59,2.3,0.57,0,0.57,1.15,0,0,0.57,0,0,32.13,0,0,2.87,0,0
 60-70,0,0,0,0,0,0,0,33.37,0,0,1.96,21.59,0,0,0,0,0,0,0,0,0,31.41,0.98,0.98,1.96,63.8,0.98,0,2.94,0,2.94,0,0,0,0,0,17.67,0,0,2.94,0.98,0
 72-82,0,0,0.98,0,2.94,0.98,0,45.16,0,0,0,25.52,1.96,0,0.98,0,0,0,0.98,0.98,0,45.16,0,1.96,2.94,75.59,0,0.98,2.94,0,0.98,0,0,0,0,0,6.87,0,1.96,0.98,0.98,0.98
 84-94,0,0,1.06,0,7.43,0,0,27.61,0,1.06,1.06,12.74,6.37,0,0,2.12,0,0,1.06,1.06,1.06,37.17,0,0,2.12,44.61,1.06,1.06,2.12,0,11.68,0,0,0,0,0,6.37,1.06,1.06,3.19,1.06,0
 96-106,0,0,0,0,7.65,0,0,17.49,1.09,1.09,3.28,15.3,4.37,0,1.09,0,1.09,0,0,1.09,0,29.51,2.19,0,3.28,37.16,4.37,2.19,0,0,18.58,0,0,0,1.09,0,4.37,1.09,0,3.28,2.19,1.09
108-118,0,0,0.77,0,12.26,0,1.53,20.68,0,3.83,0.77,11.49,3.06,0,0.77,2.3,0.77,0.77,2.3,2.3,0,18.38,1.53,0.77,6.89,51.32,0.77,3.06,0.77,0,12.26,0,0,0.77,0,0,1.53,2.3,0.77,4.6,2.3,2.3
120,0,0,0,0,13.72,1.96,0,7.84,1.96,3.92,0,3.92,0,0,0,0,0,1.96,0,1.96,0,13.72,0,1.96,7.84,66.63,1.96,0,1.96,0,9.8,1.96,0,5.88,0,0,1.96,1.96,0,1.96,1.96,0
