stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,92.25,2068.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,91.94,1771.46,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.43,6.13,0,0,6.13,0,55.17,0,0,0,0,0,0,0,0,0,0,0
  7-9,26.29,47.32,0,34.17,0,0,76.23,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,846.45,31.54,0,0,454.77,0,5.26,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,34.62,0,3.15,81.82,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,758.42,12.59,0,0,280.08,0,0,9.44,3.15,31.47,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,2,37,11,17,0,0,7,2,1,0,0,0,0,1,0,0,31,0,0,29,384,7,3,1,10,0,4,0,35,1,1,23,89,0,0,2,0,0
 24-34,0,0,0.82,1.64,11.49,4.93,100.14,0,0,18.06,0,0,0.82,0,1.64,0,0.82,1.64,0.82,71.41,2.46,0,27.91,847.94,1.64,7.39,5.75,0,0,20.52,0,0,0,0,4.93,164.99,0,0,9.03,0,1.64
 36-46,0,0,0,0,5.64,0.81,219.14,0,0,15.31,0.81,0,1.61,1.61,0,0,0,0,0,58.01,1.61,1.61,12.89,496.29,3.22,5.64,1.61,0,0,9.67,0,0,0,0,0,124.07,0,0,3.22,0,1.61
 48-58,0,0,0,0,7.46,0.57,236.41,0,1.15,18.94,1.72,0,0.57,0.57,0.57,1.15,0,0.57,0,58.53,0.57,1.15,12.05,235.83,1.15,0,1.15,0,0,2.3,0,0,0,0,0,30.41,0,0,2.87,0,0.57
 60-70,0,0,0,0,8.83,1.96,144.28,0,0,15.7,0,0,0,0,0.98,0,0.98,0,0,38.28,0,1.96,7.85,123.67,1.96,0.98,3.93,0,0,0.98,0,0,0,0,0,8.83,0,0,4.91,0,0
 72-82,0,0,0,0,3.93,0,79.51,0,0,19.63,0,0.98,1.96,1.96,0,0.98,0,0.98,0,48.1,0,0.98,6.87,114.85,0,1.96,1.96,0,0,2.94,0,0,0,0,0,2.94,0,0,6.87,0,0
 84-94,0,0,0,0,9.56,2.12,55.23,1.06,0,11.68,1.06,0,0,2.12,0,0,1.06,3.19,0,38.23,1.06,10.62,7.43,65.85,0,0,4.25,0,0,1.06,0,0,0,0,0,4.25,0,1.06,3.19,0,0
 96-106,0,0,0,0,9.84,0,41.53,0,0,15.3,3.28,0,1.09,2.19,1.09,1.09,0,0,0,20.76,0,1.09,3.28,56.83,0,2.19,1.09,0,0,0,0,0,1.09,0,0,2.19,0,0,2.19,1.09,0
108-118,0,0,0,0,9.19,3.83,39.83,2.3,0,12.26,3.06,0,0,4.6,0.77,0.77,0.77,1.53,0,26.04,0.77,2.3,4.6,91.15,0,2.3,1.53,0,0,0.77,0,0,0.77,0,0,0.77,1.53,0.77,3.06,0,0
120,0,0,0,0,7.84,5.88,39.2,0,0,21.56,1.96,0,0,5.88,0,0,1.96,3.92,0,23.52,0,1.96,3.92,76.43,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,1.96,0,0
