stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184.49,0,0,0,0,0,0
  5-6,0,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190.02,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,18.4,0,0,0,2.63,7.89,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,34.62,0,0,0,0,0,0,31.47,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,2,0,0,5,1,0,2,4,7,0,6,1,0,1,0,26,0,1,0,0,4,0,2,0,1,10,0
 24-34,0,0,0,5.75,1.64,0,1.64,2.46,6.57,0,12.31,4.1,1.64,4.1,1.64,59.92,0,6.57,1.64,0,4.1,0,0,0,0,8.21,0
 36-46,0,0,0,2.42,8.86,0,3.22,2.42,0.81,0,0,4.03,1.61,3.22,0.81,40.28,0,10.47,0.81,0,3.22,0,0,0,0,13.7,0
 48-58,0,0,0,0.57,7.46,0,3.44,0.57,1.72,0,1.15,4.02,1.72,1.72,0,16.64,0,2.87,0.57,0,0,0,0,0,0,4.02,0
 60-70,0,0,0,7.85,1.96,0.98,2.94,0,0,0,2.94,5.89,1.96,1.96,0,5.89,0,3.93,0.98,0,3.93,0,0,0,0,3.93,1.96
 72-82,0,0,0,9.82,1.96,0,2.94,0.98,0,0,0,10.8,1.96,4.91,0,5.89,0,2.94,1.96,0,4.91,0.98,0,0,0,0,2.94
 84-94,0,0,1.06,13.81,1.06,0,0,3.19,1.06,1.06,2.12,10.62,0,4.25,0,6.37,0,1.06,1.06,0,36.11,0,0,0,0,1.06,5.31
 96-106,0,0,0,18.58,1.09,0,3.28,8.74,0,0,5.46,12.02,0,0,0,3.28,0,3.28,1.09,0,18.58,0,0,1.09,0,0,2.19
108-118,0,0,0,19.15,0.77,0,3.06,6.89,0,0,3.83,6.13,0.77,0.77,0,3.83,0,3.06,1.53,0,13.02,0,0,0,0,0,3.06
120,0,0,0,17.64,0,0,0,1.96,0,0,1.96,3.92,1.96,0,0,11.76,0,0,0,0,9.8,0,0,0,0,0,0
