stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,iridophores,lateral_line,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,65.89,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0
  5-6,36.78,655.87,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,7.89,0,0,15.77,0,0,0,0,0,0,0,152.47,7.89,0,0,63.09,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,18.88,0,0,0,0,0,0,0,135.32,3.15,0,0,69.23,0,9.44,0,3.15,0,0,0,0,0
 14-21,0,0,1,2,1,6,0,0,1,0,0,0,1,14,0,0,0,0,0,0,1,0,2,3,0,1,0
 24-34,0,0,0,0.82,0,9.03,0,0,0,0,0,2.46,0,39.4,0,0.82,0,0,0,0,0,0,0,6.57,0,0,0
 36-46,0,0,0,0,0,4.03,0.81,0,0,0,0,0,0,22.56,0,0,0,0,0,0.81,0,0,0,17.72,0,0,0
 48-58,0,0,0,0,0,8.03,0,2.87,0,0,0,1.72,0,26.97,0.57,0,0,0,0,0,0,0,0,8.03,0,0.57,0
 60-70,0,0,0,0.98,0,18.65,0,0.98,0,0,0,0,0,38.28,0,0,0,0,0,0,0,0,0,10.8,0,0.98,0
 72-82,0,0,0,0.98,0,7.85,0,4.91,3.93,0,0,1.96,0,24.54,0,0,0,0,0.98,0,0,0,0,4.91,0,0,0
 84-94,0,0,0,2.12,0,5.31,0,2.12,2.12,0,0,1.06,0,18.05,1.06,0,1.06,0,0,0,0,0,0,7.43,0,0,1.06
 96-106,0,0,0,6.56,0,6.56,0,18.58,5.46,0,1.09,3.28,0,36.06,0,0,2.19,0,2.19,0,0,1.09,0,1.09,1.09,0,0
108-118,0,0,0,2.3,0.77,3.06,0,20.68,0,0,0,1.53,0.77,23.74,0,0,0,0,0,0.77,0,0,0,1.53,0,1.53,0
120,0,0,0,1.96,0,7.84,0,33.32,1.96,1.96,0,5.88,1.96,68.59,0,0,0,0,1.96,0,0,0,0,11.76,0,0,0
