stage,endocrine_pancreas,epidermis,eye,glial,immune,ionocyte,mesenchyme,mural_cell,neural,notochord,olfactory,otic,spinal_cord,vascular_smooth_muscle,visceral_smooth_muscle
 14-21,0,0,0,0,0,0,0,0,3,6,0,0,4,0,0
 24-34,0,0,0.82,0,0,0,0,0,14.78,0,1.64,0,13.95,0,0
 36-46,0,0,1.61,0,0,0,0,0.81,11.28,0,3.22,0,15.31,0,0
 48-58,0,0,0.57,0,0,0,0.57,0,11.48,0,4.02,0,5.74,0,0
 60-70,0,0,11.78,0,0,0,1.96,0.98,38.28,0,3.93,0,5.89,0,0.98
 72-82,0,0.98,10.8,1.96,0,0,0.98,0,37.3,0,6.87,0,0.98,0,0.98
 84-94,0,0,7.43,0,0,0,2.12,1.06,25.49,0,4.25,2.12,1.06,2.12,1.06
 96-106,0,1.09,7.65,3.28,0,0,2.19,1.09,21.86,0,4.37,0,0,0,1.09
108-118,0.77,1.53,6.89,0.77,0,0,0,0,18.38,0,4.6,0,1.53,0,0
120,0,0,11.76,3.92,1.96,1.96,0,0,37.24,0,3.92,0,0,0,0
