stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,0,6.13,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,49,0,2,0,0,0,0,1,4,0,56,0,0,0,0,0
 24-34,0,0,0,0,0,3.28,0,0,0,22.98,0,0,0,0,0,0,0,0.82,0,0,0,248.72,0,4.1,1.64,0,0,0,0,31.19,0.82,130.52,0,0,0,0,0
 36-46,0,0,0.81,0,0,4.03,0,0,0,43.51,0,0,0,0,0,0,0,2.42,0,0,0.81,468.9,0,3.22,0,0,0,0,0,8.86,0,180.47,0,0,0,0,0.81
 48-58,0,0,2.3,0,0,26.97,0,0,0,95.25,0,0,0.57,0,0,0,0,8.03,0,0,0,582.41,0,1.72,0.57,0,0.57,0,0,1.15,0,146.89,0,0,0,0,0
 60-70,0,0,2.94,0.98,0,132.51,0,0,0,155.08,0,0,0,0,0,0,0,20.61,0,0.98,1.96,1281.87,0,0,0,0,0,0,0,0.98,0,162.93,0,0,0,0,0
 72-82,0,0,6.87,0.98,0,239.53,0,0.98,1.96,229.71,0.98,0,0.98,0,0.98,0,0,61.84,0,0,1.96,1364.51,0,1.96,1.96,0,0.98,0,0,0,0,104.06,1.96,0,0.98,1.96,0
 84-94,0,0,6.37,2.12,0,184.79,0,0,1.06,135.94,0,1.06,2.12,1.06,1.06,0,1.06,31.86,0,2.12,3.19,696.7,0,3.19,4.25,0,1.06,0,0,0,0,63.72,0,1.06,1.06,2.12,0
 96-106,0,0,3.28,2.19,1.09,180.32,0,1.09,2.19,147.53,0,0,1.09,0,0,0,1.09,34.97,1.09,1.09,2.19,662.27,0,2.19,4.37,0,3.28,1.09,0,1.09,0,32.79,0,0,2.19,2.19,2.19
108-118,0,0.77,10.72,1.53,0,119.49,0.77,0.77,0,144,0,0,0,0.77,1.53,0,0,24.51,0,0,2.3,715.41,0,0.77,1.53,0,0.77,0,0,0,0,31.4,0.77,0.77,1.53,0.77,0
120,0,0,5.88,0,0,131.31,0,1.96,1.96,160.7,0,0,3.92,0,0,1.96,0,31.36,0,0,1.96,744.72,0,1.96,1.96,0,3.92,0,0,0,0,27.44,0,0,1.96,0,0
