stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0.82,5.75,0,0.82,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0.81,0,0,4.83,0,0,0,0,0,0
 48-58,0,0,0,0,1.15,0.57,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,4.91,3.93,0.98,0,0,0,0.98,0,0,0.98,0,0,0,1.96,2.94,0,0,0,0,0,0
 72-82,0,0,0.98,0,2.94,2.94,0,3.93,0.98,0,0.98,0,0,0,0,1.96,0,0,9.82,0,0,0,0,0,0
 84-94,0,0,1.06,0,2.12,4.25,1.06,2.12,1.06,0,5.31,0,1.06,0,1.06,2.12,0,2.12,1.06,0,0,1.06,0,0,0
 96-106,0,6.56,0,1.09,3.28,9.84,0,1.09,12.02,0,1.09,1.09,0,1.09,0,5.46,0,2.19,8.74,0,0,3.28,0,0,0
108-118,0,6.13,1.53,0,1.53,7.66,0.77,0,36,0,6.13,0,0,0,0,3.06,0.77,3.83,3.83,0,0,2.3,0,0,0.77
120,0,9.8,0,1.96,3.92,11.76,0,0,43.12,0,11.76,0,0,1.96,0,3.92,0,1.96,9.8,0,0,0,0,1.96,0
