stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,545.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,21.03,10.51,0,21.03,0,0,0,49.95,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,607.23,15.77,0,0,197.15,0,2.63,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,37.76,0,3.15,0,28.32,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,733.24,31.47,0,0,251.76,0,0,0,0,34.62,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,10,30,6,0,16,0,0,9,1,0,0,0,2,0,0,0,0,21,0,0,21,297,5,5,5,5,0,4,0,18,4,20,70,0,0,1,0,0
 24-34,0,0,0,0,8.21,3.28,0,80.44,0,0,6.57,0,0,2.46,1.64,0.82,0,0,0.82,0,38.58,0,0,16.42,527.81,0.82,2.46,3.28,0,0,9.85,0,0.82,3.28,4.1,100.97,0,0,9.03,0,2.46
 36-46,0,0,0,0,4.03,1.61,0,194.17,0,0.81,13.7,0,0,0.81,0,0,0.81,0,0.81,0,42.7,0,0.81,15.31,416.53,1.61,5.64,2.42,0,0,3.22,0,0,0,0,107.96,0,0,1.61,0,0.81
 48-58,0,0,0,0,2.87,0.57,0,180.75,1.15,1.15,14.35,0.57,0.57,1.15,0,0,0,1.15,0,1.15,49.35,0.57,3.44,7.46,161.81,0.57,2.87,1.72,0,0,1.72,0,0,0.57,0,31.56,0,0,2.87,0,0
 60-70,0,0,0,0,5.89,0,0,122.69,0,1.96,18.65,1.96,0,0,0.98,0.98,1.96,1.96,0,0,35.33,0,1.96,4.91,90.3,0,0,0.98,0,0,0.98,0,0,0.98,0,15.7,0,0.98,3.93,0,0
 72-82,0,0,0,0,8.83,0,0,57.92,0.98,1.96,24.54,1.96,0,0,0.98,0,0,1.96,0,0,62.83,0,1.96,6.87,77.55,0.98,0.98,2.94,0,0.98,1.96,0,0,0.98,0,4.91,0,0.98,0.98,0.98,0
 84-94,0,0,0,0,9.56,4.25,1.06,50.98,1.06,0,12.74,1.06,0,2.12,2.12,1.06,1.06,2.12,0,1.06,48.85,0,1.06,4.25,50.98,1.06,1.06,4.25,0,0,7.43,0,0,1.06,0,2.12,2.12,1.06,5.31,0,1.06
 96-106,0,0,0,0,6.56,0,0,34.97,1.09,0,20.76,2.19,0,0,0,0,1.09,0,0,0,16.39,0,1.09,5.46,45.9,0,4.37,0,0,0,1.09,0,0,0,0,2.19,0,0,2.19,0,1.09
108-118,0,0,0,0,6.13,1.53,0.77,36,1.53,2.3,7.66,2.3,0,0.77,3.06,0,1.53,0,0,0,19.15,0.77,1.53,3.06,62.04,0,3.83,2.3,0,0.77,3.06,0,0,0.77,0,0.77,1.53,0,1.53,0.77,0.77
120,0,0,1.96,0,13.72,5.88,1.96,31.36,1.96,0,5.88,1.96,0,0,7.84,1.96,1.96,0,0,0,25.48,0,0,5.88,62.71,0,1.96,3.92,0,0,3.92,0,0,1.96,0,0,0,0,3.92,1.96,0
