stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,12.59,0,0,9.44,0,0,0,0,0,0,0,0,201.41,12.59,0,0,31.47,0,0,6.29,3.15,3.15,0,0
 14-21,0,0,0,0,11,4,0,1,0,0,0,0,0,0,0,2,0,2,36,0,0,2,1,0,7,0,1,15,0,0
 24-34,0,0,0,0,1.64,0,2.46,0.82,0,0,0.82,0,0.82,0,0,0.82,0,3.28,17.24,1.64,0.82,0,0,1.64,0,0.82,0.82,6.57,0,1.64
 36-46,0,0,0.81,0,1.61,0,3.22,1.61,0,0,0,0,0,0,0,4.03,0,0.81,18.53,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,0.57,0,4.02,3.44,0,0,0,1.15,0,0,0,4.59,0.57,0.57,12.62,0,0,1.15,0,0,0,0,0,2.3,0,0
 60-70,0,0,0,0,0.98,0,9.82,2.94,0,0,0,0.98,0,0,0,1.96,0.98,0,17.67,0,0,0.98,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0,0,6.87,4.91,0,0,0,0,0,0,0,8.83,0,0,13.74,0,0,0.98,0,0.98,0,0,0,0.98,0.98,0.98
 84-94,0,0,0,0,1.06,0,4.25,1.06,1.06,0,3.19,0,0,0,0,7.43,0,1.06,9.56,0,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,0,0,0,2.19,0,5.46,0,1.09,0,1.09,0,1.09,1.09,0,3.28,0,1.09,5.46,0,0,0,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0,0,0,1.53,4.6,0.77,0,0.77,0.77,0,0,0.77,0.77,0,0,6.13,0,0.77,0,0,2.3,0,0,0,0.77,0,0
120,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,0,0,1.96,0,0,7.84,0,0,1.96,0,0,0,0,0,0,0,0
