stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,110.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,23,0,0,1,0,0,0,1,0,1,23,31,0,0,0,0,0
 24-34,0,0,6.57,0.82,0.82,0,0,6.57,0,0,0,0,0.82,0,0.82,0,0,0.82,0,0,1.64,0,0,6.57,251.18,0,8.21,7.39,0,0,0,0,0,0,17.24,77.16,0,0,0,0,0
 36-46,0,0,5.64,0,0,0,0,7.25,0.81,0.81,0,3.22,0,0,0,0,0,0.81,0,0,2.42,0,0.81,2.42,580.08,0,12.89,3.22,0,0,0.81,0,0,0.81,0,131.32,0,0,0,0,0
 48-58,0,0,3.44,0,4.02,0,0,67.14,1.15,0.57,0.57,7.46,0,0,0,0,0,1.15,0.57,0,8.03,0.57,0.57,1.72,867.59,0,11.48,8.03,0,0,0.57,0,0.57,0.57,0,138.86,0,0,0,0,2.3
 60-70,0,0,0.98,0,2.94,0,0,296.42,0.98,0,0,19.63,0,0,0,0,0.98,3.93,0,0,15.7,0.98,0.98,0.98,1386.89,0,11.78,14.72,0,0,3.93,0,0,0,0,172.75,0,0,0,0,0
 72-82,0,0,4.91,0,10.8,1.96,0.98,557.58,0.98,0.98,1.96,42.21,1.96,0,0.98,0,0.98,9.82,0.98,0,33.38,0,0.98,2.94,1363.53,0,24.54,33.38,0,1.96,6.87,0,0.98,1.96,0,107,0.98,0,1.96,0.98,1.96
 84-94,0,0,4.25,0,9.56,3.19,1.06,343.04,1.06,1.06,0,32.92,1.06,0,2.12,0,2.12,8.5,0,1.06,29.74,0,1.06,3.19,697.76,0,14.87,43.54,0,0,6.37,0,0,0,0,73.28,3.19,1.06,1.06,1.06,0
 96-106,0,0,6.56,0,17.49,4.37,2.19,377.03,1.09,1.09,0,42.62,0,1.09,4.37,1.09,2.19,24.04,3.28,0,29.51,1.09,1.09,1.09,608.72,0,24.04,52.46,0,0,4.37,2.19,0,0,0,37.16,6.56,4.37,1.09,0,0
108-118,0,0,5.36,0,11.49,1.53,2.3,303.32,0.77,0,0.77,32.94,0.77,0,1.53,0,0,11.49,1.53,0,17.62,0,0.77,1.53,683.24,0.77,15.32,40.6,0,0.77,0.77,0,0,0,0,17.62,13.02,0.77,0.77,1.53,0.77
120,0,0,3.92,0,15.68,3.92,0,280.25,1.96,5.88,1.96,33.32,0,0,5.88,0,1.96,9.8,0,0,25.48,0,0,3.92,778.03,0,31.36,29.4,0,3.92,1.96,0,0,0,0,17.64,1.96,0,1.96,0,0
