stage,blastomeres,epidermis,eye,glial,hatching_gland,ionocyte,iridophores,lateral_line,mesenchyme,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0.82,4.1,1.64,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,0.81,0.81,0,4.03,4.83,2.42,0,0,4.03
 48-58,0,0,0,0,0,0,0,0.57,0,0.57,1.72,2.87,2.3,0,0,4.59
 60-70,0,0,0,0,1.96,0,0,0,0,0.98,0.98,0.98,0.98,0,0,1.96
 72-82,0,0,0,0,1.96,0,0,1.96,0.98,0.98,3.93,13.74,7.85,0,0,0
 84-94,0,1.06,0,0,2.12,0,1.06,0,0,0,2.12,8.5,8.5,0,0,0
 96-106,0,0,0,0,0,0,0,5.46,3.28,0,2.19,9.84,24.04,0,0,0
108-118,0,0.77,0,1.53,0,0,0,3.06,0.77,0,2.3,8.43,11.49,0.77,0,0
120,0,0,0,0,0,0,0,3.92,0,0,0,1.96,19.6,0,0,0
