stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,0,0,0,0,0,0
  7-9,55.2,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,144.58,0,0,5.26,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,176.23,601.07,0,0,75.53,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,2,0,2,0,0,0,2,0,2,0,0,2,0,0,1,5,0,1,28,580,0,2,0,1,5,1,0,10,91,0,0,0,0
 24-34,0,0,0,0,0,0.82,0,0.82,0,1.64,0.82,0.82,0,0,0.82,0,0,0,0,0.82,3.28,0,0.82,13.13,65.67,0,0,0,0.82,0,0,0,1.64,57.46,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0,4.83,0,0,5.64,23.36,0,0,0,0,0,0,0,0,13.7,0,0,0.81,0
 48-58,0,0,0,0,1.15,0.57,0,1.15,0,0.57,0,0.57,0,0,0,0,0,0,0,0.57,75.17,0,0,5.74,3.44,0,0,0,0,0,0,0,0,5.74,0,0,0,0
 60-70,0,0,0,0,2.94,0.98,0,1.96,0.98,0.98,0,0.98,0,0,0.98,0,0,0,0,0.98,184.53,0,2.94,9.82,1.96,0,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,6.87,0.98,0,15.71,0.98,0.98,0,1.96,0,0,0,0,0,0,0,0.98,405.43,0,0.98,10.8,0,0.98,0,0,1.96,0,0,0,0,1.96,0.98,0,0.98,0
 84-94,0,0,0,0,6.37,0,1.06,25.49,0,1.06,0,5.31,0,0,0,0,1.06,1.06,0,0,352.6,1.06,1.06,7.43,0,0,0,0,0,0,1.06,0,0,2.12,1.06,1.06,1.06,1.06
 96-106,0,0,1.09,0,9.84,0,1.09,9.84,1.09,1.09,0,5.46,0,0,0,2.19,1.09,0,0,0,243.7,0,0,5.46,1.09,0,0,0,2.19,0,0,0,0,3.28,0,0,1.09,0
108-118,0,0,0,0,6.13,0,0,6.89,0,2.3,0,3.83,0,0,0,2.3,0,0,0.77,0.77,168.51,0,0,3.83,3.06,0,0.77,0,0.77,0,0,0.77,0,0,0,0,0.77,0
120,0,0,0,0,11.76,0,0,0,0,1.96,0,1.96,1.96,0,0,1.96,0,0,0,0,152.86,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
