stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,2,0,0,2,32,1,0,0,1,5,0
 24-34,0.82,0,3.28,0,0,0,0,2.46,0,0.82,44.33,0,0.82,0,0,9.03,0
 36-46,0,0,3.22,0,0,0,0.81,1.61,0,0,33.03,0,0.81,0,0,4.83,0.81
 48-58,0.57,0,7.46,0,2.3,0,0,1.15,0,0,30.99,0,0,0.57,0,4.59,0
 60-70,0.98,0,8.83,0,2.94,0,0,0.98,0.98,0,40.24,1.96,0,0,0,11.78,0
 72-82,0,0,16.69,0,2.94,0.98,0,0,0,0,33.38,0,0,0,0,10.8,0
 84-94,0,0,6.37,0,2.12,0,0,4.25,0,0,19.12,0,0,0,0,3.19,0
 96-106,0,1.09,5.46,0,0,0,1.09,3.28,0,1.09,26.23,0,0,1.09,0,0,0
108-118,0,0,6.89,0.77,3.83,0.77,0,0.77,0,0,18.38,0,0.77,0,0,3.83,0
120,0,1.96,17.64,0,0,0,0,0,0,0,27.44,0,0,0,0,9.8,0
