stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,liver,neural,paraxial_mesoderm,periderm
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,5.26,5.26,0
 10-12,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,3.28,0.82,0,0,0.82,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0.98,0.98,0.98,0,0
 72-82,0,0,0.98,0,0,0.98,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,1.06,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,1.09,3.28,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,2.3,0,0,0,0
120,0,0,0,0,0,0,0,0,3.92,0,1.96,0,0
