stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,2.63,0,0,0,18.4,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,118.29,7.89,0,0,39.43,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119.58,0,0,0,34.62,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,1,0,9,0,0,3,1,0,0,0,1,0,0,0,1,4,0,6,76,1,0,0,1,0,0,7,0,14,18,0,2,0,0
 24-34,0,0,0.82,3.28,0,0,13.13,0,0,1.64,0.82,0,0,0.82,0,0,0,0,0,9.85,0,5.75,111.64,0.82,0,1.64,0,0,0,0,0,0.82,22.16,0,0.82,0,0
 36-46,0,0,0,1.61,0,0,12.09,0,0,2.42,0,0,0,0,0,0,0,0,0,13.7,0,5.64,96.68,0.81,0.81,0,0,0,0,0,0,0.81,19.34,0,2.42,0,0.81
 48-58,0,0,0,0.57,0,0,28.69,1.15,1.72,4.59,0.57,0,0,0,0,0.57,0,0,0,20.08,0.57,1.72,75.17,0,0.57,0.57,0,0,0,0,0,0,16.64,0,0,0,0
 60-70,0,0,0,0.98,0,0,31.41,0.98,0,6.87,0,0,0,0,0.98,0.98,0.98,0.98,0,17.67,0,2.94,99.13,0,0,0,0,0,0.98,0,0.98,0,4.91,0.98,3.93,0,0
 72-82,0,0,0,2.94,0,0,19.63,0,4.91,2.94,0.98,0,0,0,0,0.98,0,0,0,30.43,0,0,73.62,0,0,1.96,0,0,0,0,0,0,3.93,0,1.96,0,0.98
 84-94,0,0,0,2.12,0,0,12.74,1.06,2.12,3.19,1.06,0,0,1.06,0,0,0,0,0,13.81,0,3.19,38.23,0,1.06,3.19,0,0,4.25,0,0,0,2.12,1.06,5.31,1.06,0
 96-106,0,0,0,3.28,1.09,0,8.74,0,2.19,4.37,0,0,1.09,1.09,0,0,0,0,0,16.39,0,2.19,27.32,0,0,0,0,1.09,0,0,0,0,3.28,0,2.19,0,0
108-118,0,0,0,2.3,0,0.77,5.36,0.77,0.77,7.66,0,0,0,0,0,0,0,0,0,11.49,1.53,3.06,28.34,0,1.53,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,3.92,0,0,7.84,0,0,7.84,0,0,0,3.92,0,0,0,0,0,5.88,0,5.88,37.24,1.96,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0
