stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0.82,0,0,1.64,0,0,0,0,0,0,24.63,0,0.82,0,0,0,0,0,0,3.28,0,0,0,0,0
 36-46,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0.81,0,92.65,0,3.22,0,0,0,0,0.81,0,16.11,0,0,0,0,0
 48-58,0,0,0.57,0,0,0,16.07,0,0,0.57,2.3,0,0,0.57,0.57,0,0,0,1.15,0,172.72,0,1.72,0,0,0,0,0,0,21.8,0,0,0.57,0,0
 60-70,0,0,0.98,0.98,0,0,77.54,0,0,0,8.83,0,0,0,0,0,0,0,4.91,0,569.28,0,3.93,0,0,0,0,0,0,51.04,0,0,0,0,0
 72-82,0,0,1.96,8.83,0,0,265.05,0,0,0.98,27.49,0.98,0,0,0.98,0,0.98,0.98,12.76,0,1158.36,0,0.98,0.98,0,0.98,0,0,0,36.32,0.98,0,1.96,0,2.94
 84-94,0,0,1.06,10.62,0,1.06,192.23,0,2.12,0,14.87,0,0,2.12,3.19,0,0,0,8.5,0,675.46,0,4.25,1.06,0,1.06,0,0,0,32.92,1.06,0,2.12,0,2.12
 96-106,0,0,1.09,5.46,1.09,0,163.93,0,1.09,1.09,17.49,1.09,0,0,1.09,1.09,0,0,9.84,1.09,702.7,0,3.28,6.56,0,2.19,0,0,0,19.67,1.09,2.19,0,1.09,1.09
108-118,0,0,0,6.13,2.3,0,144.77,0.77,1.53,0.77,22.98,2.3,0,0.77,0.77,0.77,0,0,9.19,1.53,805.03,0,1.53,0.77,0,0,0,0,0,19.92,0,0.77,1.53,0,0
120,0,0,0,9.8,1.96,0,146.98,0,0,0,17.64,0,0,1.96,1.96,0,0,0,3.92,1.96,856.43,1.96,1.96,1.96,0,0,1.96,0,0,25.48,1.96,1.96,0,0,0
